Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) ,Month,Day,DistrictHeatingWater:Facility [J](TimeStep),DistrictCooling:Facility [W](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),ASHP_cooling_COP,ASHP_heating_COP,ASHP_cooling_exergy_efficiency,ASHP_heating_exergy_efficiency,Cooling_demand_W_m2,Heating_demand_W_m2,Cooling_exergy_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_cooling_exergy_efficiency_zero_filled,ASHP_heating_exergy_efficiency_zero_filled
 01/02  13:00:00,01/02 13:00:00,6.7,21.99999999999681,6.487393278592405,21.99999999998592,21.99999999998024,21.999999999981107,21.999999999978638,0.0,29147019.832912493,1,0,29147019.832912493,0.0,8096.394398031248,,3.685833810275378,,0.23759021666679972,0.0,15.844216043113988,-0.0,0.82133323889411,0.0,0.23759021666679972
 01/02  14:00:00,01/02 14:00:00,6.7,21.999999999999915,7.057541248294719,21.999999999999524,21.999999999999304,21.99999999999933,21.999999999999236,0.0,31050102.35395072,1,0,31050102.35395072,0.0,8625.028431652978,,3.734813368763019,,0.24074745720240964,0.0,16.878724915172167,-0.0,0.8749601599259098,0.0,0.24074745720240964
 01/02  15:00:00,01/02 15:00:00,6.6,22.0,6.548209286926152,21.999999999999996,21.999999999999982,21.999999999999982,21.999999999999982,0.0,30914792.105435837,1,0,30914792.105435837,0.0,8587.442251509954,,3.7248523138465774,,0.2413505834660487,0.0,16.805170746594822,-0.0,0.876841028282433,0.0,0.2413505834660487
 01/02  16:00:00,01/02 16:00:00,6.7,22.0,6.153382625523234,22.0,22.0,22.0,22.0,0.0,27425010.83473348,1,0,27425010.83473348,0.0,7618.058565203744,,3.6375210120772237,,0.23447595574714603,0.0,14.908138092375234,-0.0,0.772808784730955,0.0,0.23447595574714603
 01/02  17:00:00,01/02 17:00:00,6.8,22.0,5.453494584637628,22.0,22.0,22.0,22.0,0.0,25991032.89544101,1,0,25991032.89544101,0.0,7219.731359844725,,3.6007347665139497,,0.23090097367221646,0.0,14.128632798130578,-0.0,0.727613818504437,0.0,0.23090097367221646
 01/02  18:00:00,01/02 18:00:00,6.9,22.0,5.996788526101224,22.000000000000004,22.0,22.0,22.0,0.0,25919482.135337766,1,0,25919482.135337766,0.0,7199.856148704935,,3.6048475650463354,,0.2299596093530957,0.0,14.089738060087935,-0.0,0.7208370140854753,0.0,0.2299596093530957
 01/02  19:00:00,01/02 19:00:00,6.6,22.0,5.334565913921518,22.0,22.0,22.0,22.0,0.0,25880019.911877207,1,0,25880019.911877207,0.0,7188.894419965891,,3.584574064407219,,0.23226130032214268,0.0,14.068286536136773,-0.0,0.7340390061206375,0.0,0.23226130032214268
 01/02  20:00:00,01/02 20:00:00,6.3,22.0,4.851016181357409,22.0,22.0,22.0,22.000000000000004,0.0,26517972.50095723,1,0,26517972.50095723,0.0,7366.103472488119,,3.584903219160389,,0.2358779313796073,0.0,14.415075288626456,-0.0,0.7667853024951223,0.0,0.2358779313796073
 01/02  21:00:00,01/02 21:00:00,6.0,22.0,4.830946968848823,22.0,22.0,22.000000000000004,22.0,0.0,26419799.63994574,1,0,26419799.63994574,0.0,7338.833233318262,,3.5626154869361497,,0.23798440388165518,0.0,14.361708871464309,-0.0,0.778544272212194,0.0,0.23798440388165518
 01/02  22:00:00,01/02 22:00:00,5.5,22.0,4.58444653815267,22.0,22.0,22.000000000000004,22.0,0.0,26617332.504228204,1,0,26617332.504228204,0.0,7393.703473396724,,3.5360355758098128,,0.2421193434932098,0.0,14.469087032087522,-0.0,0.8088766255444486,0.0,0.2421193434932098
 01/02  23:00:00,01/02 23:00:00,5.0,20.246866033292456,4.421328122776174,20.17384546435501,20.1483642496835,20.19626209721174,20.13519315380936,0.0,0.0,1,0,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/02  24:00:00,01/02 24:00:00,4.5,19.395144777774178,4.111347193375118,19.42484483461094,19.398601421448824,19.474147199699438,19.38028128246748,0.0,0.0,1,0,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  01:00:00,01/03 01:00:00,4.2,19.07454632164908,3.802908684082432,19.02952165044725,18.98285267775236,19.073183842559395,18.96509887172867,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  02:00:00,01/03 02:00:00,3.8,18.777439600818703,3.287942426849958,18.672877447805934,18.63073992798885,18.743907266559106,18.61098592746154,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  03:00:00,01/03 03:00:00,3.5,18.562382545516208,2.8448468455195046,18.43178580563478,18.38407994076556,18.509043156529884,18.36316993146854,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  04:00:00,01/03 04:00:00,3.2,18.367996097900157,2.3224638826532904,18.204849752614724,18.15648911454317,18.295158977556447,18.13557525006157,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  05:00:00,01/03 05:00:00,3.0,18.20173844692635,1.8751742148859376,18.0168439666677,17.96747353291801,18.11743695490697,17.94616078997462,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  06:00:00,01/03 06:00:00,2.7,18.06771207831116,1.357474959900984,17.862800786243234,17.815266438964546,17.970450867559478,17.791102367746326,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  07:00:00,01/03 07:00:00,2.7,21.980198931960096,0.9988883172718812,21.976856787313764,21.976185613505333,21.97811607517697,21.975903417687014,0.0,46643858.63986605,1,1,46643858.63986605,0.0,12956.62739996279,,3.6620291506450995,,0.28502446971828016,0.0,25.355435224976105,-0.0,1.6564141416672518,0.0,0.28502446971828016
 01/03  08:00:00,01/03 08:00:00,2.7,21.999240307581427,0.552030444385996,21.99880109873224,21.998761454661604,21.998893639592552,21.9987403792472,0.0,55911142.97225623,1,1,55911142.97225623,0.0,15530.873047848952,,3.6481834566651448,,0.28394682630743434,0.0,30.393097940995993,-0.0,1.9873461312110101,0.0,0.28394682630743434
 01/03  09:00:00,01/03 09:00:00,2.7,21.999993564389,0.6695545808115907,21.9999827520738,21.99998215947055,21.999984763867506,21.999981721199426,0.0,44709814.27127091,1,1,44709814.27127091,0.0,12419.392853130808,,3.652593361133788,,0.2842900596982613,0.0,24.304095602995712,-0.0,1.58925596799575,0.0,0.2842900596982613
 01/03  10:00:00,01/03 10:00:00,3.4,21.99999998013292,2.7322916806330952,21.999999920657636,21.99999991476057,21.99999992927224,21.999999909722035,0.0,34709444.628333755,1,1,34709444.628333755,0.0,9641.512396759377,,3.5845699838430414,,0.2706073759889134,0.0,18.86793032633929,-0.0,1.1890344018928793,0.0,0.2706073759889134
 01/03  11:00:00,01/03 11:00:00,4.2,21.999999999959908,5.594571126228948,21.99999999980322,21.99999999976085,21.99999999979064,21.99999999971911,0.0,27286725.19835941,1,1,27286725.19835941,0.0,7579.64588843317,,3.4691142107599253,,0.25261354621280074,0.0,14.832966513567847,-0.0,0.8945512584819556,0.0,0.25261354621280074
 01/03  12:00:00,01/03 12:00:00,4.9,21.99999999999996,10.14572301060923,21.999999999999797,21.999999999999645,21.99999999999968,21.999999999999545,0.0,22045023.01517076,1,1,22045023.01517076,0.0,6123.6175042141,,3.349960134646861,,0.23609774811434595,0.0,11.98359589865773,-0.0,0.6942893100696153,0.0,0.23609774811434595
 01/03  13:00:00,01/03 13:00:00,5.1,21.999999999999996,14.02607461604925,21.999999999999996,21.999999999999996,21.999999999999996,21.999999999999996,0.0,11947512.353859186,1,1,11947512.353859186,0.0,3318.753431627552,,3.1773254360023144,,0.22180647583866583,0.0,6.494625110817127,-0.0,0.3718758745478884,0.0,0.22180647583866583
 01/03  14:00:00,01/03 14:00:00,5.2,22.0,16.172540209160125,22.0,22.0,22.0,22.0,0.0,15147886.058420334,1,1,15147886.058420334,0.0,4207.746127338982,,3.229803899746939,,0.22439022954901564,0.0,8.234336844107597,-0.0,0.46870018289346993,0.0,0.22439022954901564
 01/03  15:00:00,01/03 15:00:00,5.4,22.0,15.333932300962966,22.0,22.0,22.0,22.0,0.0,13044693.744955646,1,1,13044693.744955646,0.0,3623.526040265457,,3.212180257416927,,0.22101816296507573,0.0,7.091049002476432,-0.0,0.39881895118112476,0.0,0.22101816296507573
 01/03  16:00:00,01/03 16:00:00,4.4,22.0,13.386059924650674,22.0,22.0,22.0,22.0,0.0,13912319.62523434,1,1,13912319.62523434,0.0,3864.5332292317607,,3.163871336722347,,0.22827104008211543,0.0,7.562687337048455,-0.0,0.45096831147570055,0.0,0.22827104008211543
 01/03  17:00:00,01/03 17:00:00,3.4,21.999999999999996,9.77316809793168,21.999999999999996,21.999999999999996,21.999999999999996,21.99999999999999,0.0,18021979.998417817,1,1,18021979.998417817,0.0,5006.105555116061,,3.1530783860863387,,0.23803308965707815,0.0,9.796684060892487,-0.0,0.6173753126633932,0.0,0.23803308965707815
