Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),Heating_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_heating_COP,ASHP_heating_exergy_efficiency
 02/10  15:00:00,02/10 15:00:00,7.8,22.0,2856.9678050060456,5.590935039150774,0.26898620212075525,3.3070878095855094,0.20101494073951187
 02/10  16:00:00,02/10 16:00:00,7.1,22.0,2669.9948855923412,5.2250389150535055,0.26377462251159445,3.2552074216370865,0.20547901129875754
 02/10  17:00:00,02/10 17:00:00,6.3,21.999999999999996,2889.8149441523155,5.655215154896899,0.30081950849358396,3.2230607889247866,0.21206957764967496
 02/10  18:00:00,02/10 18:00:00,5.6,22.0,3369.7963874635025,6.594513478402157,0.36642392358392445,3.2101914830730416,0.21873498630773575
 02/10  19:00:00,02/10 19:00:00,4.7,21.999999999999996,4198.550020231433,8.216340548398108,0.4815947534720902,3.1988029735885726,0.22758324934307544
 02/10  20:00:00,02/10 20:00:00,3.9,22.0,4893.880518303557,9.577065593549037,0.5873111544748015,3.180123115619104,0.23475917614967226
 02/10  21:00:00,02/10 21:00:00,3.0,22.0,5100.353126817482,9.981121578899183,0.6425251905779588,3.131246126020052,0.2405720296219146
 02/10  22:00:00,02/10 22:00:00,2.8,22.0,5268.430952878486,10.310041003676098,0.6706853710675279,3.1248998497018214,0.2421737589240413
 02/13  07:00:00,02/13 07:00:00,-0.6,21.970609023977826,16769.285177308982,32.816605043657496,2.5097900291826574,3.312450167518365,0.2943585641791083
 02/13  08:00:00,02/13 08:00:00,-0.5,22.0,21385.09404668178,41.849499112880196,3.1902887685577,2.958573823364572,0.26192253833269186
 02/13  09:00:00,02/13 09:00:00,-0.5,22.0,16153.644121941003,31.611828027281806,2.4098462836315133,3.3477498573208133,0.29637629232289875
 02/13  10:00:00,02/13 10:00:00,1.7,21.999999999999982,11119.262652358702,21.759809495809595,1.4966089539723364,3.5344308746244724,0.2869088073655274
 02/13  11:00:00,02/13 11:00:00,3.9,22.000000000000018,8019.740029393768,15.694207493921269,0.9624433530068613,3.4912868001085995,0.2577295227565926
 02/13  12:00:00,02/13 12:00:00,6.1,21.999999999999996,6353.3846979177915,12.433238156394895,0.6697898922130391,3.454163808190421,0.22958505202254142
 02/13  13:00:00,02/13 13:00:00,7.4,22.0,3937.655472038032,7.705783702618458,0.38117717112732413,3.34688219466596,0.20790922155423266
 02/13  14:00:00,02/13 14:00:00,8.7,22.0,4087.2193072542386,7.998472225546455,0.36042581941307145,3.4293295544657747,0.1981273332145012
 02/13  15:00:00,02/13 15:00:00,10.0,22.0,3007.45760399773,5.885435624261703,0.2392858800309691,3.438875852102761,0.18373383669240662
 02/13  16:00:00,02/13 16:00:00,9.3,21.999999999999996,3264.8431062369054,6.389125452518406,0.27491747669654,3.4166133546486335,0.19053961189324314
 02/13  17:00:00,02/13 17:00:00,8.7,22.0,3867.2713535707344,7.568045701703981,0.34103001129142174,3.4176691264526395,0.1974536594045947
 02/13  18:00:00,02/13 18:00:00,8.0,22.0,4336.054686179935,8.485429914246447,0.4024937109925474,3.4017651120069305,0.20449529480397996
 02/13  19:00:00,02/13 19:00:00,7.4,22.0,5010.717807037643,9.805709994202823,0.4850529084037321,3.3976090917907853,0.21106039003870833
 02/13  20:00:00,02/13 20:00:00,6.7,22.0,5371.278419092603,10.51130806084658,0.5448856965304181,3.3708557902190406,0.21728661648226683
 02/13  21:00:00,02/13 21:00:00,6.1,22.000000000000004,5460.376643560933,10.685668578397129,0.5756467233491922,3.3382667966570723,0.221881821110606
 02/13  22:00:00,02/13 22:00:00,5.0,22.0,5649.0586587597,11.054909312641291,0.6367388050648891,3.294577958772822,0.2310931567129062
 02/14  07:00:00,02/14 07:00:00,-0.9,21.97946381552565,11970.432951936034,23.425504798309266,1.8160267106653556,3.345445066845502,0.30064578352443316
 02/14  08:00:00,02/14 08:00:00,-0.4,22.0,14605.3218384882,28.581843128156947,2.1691793531110117,3.3982285750011068,0.2997091440385034
 02/14  09:00:00,02/14 09:00:00,0.0,22.0,11778.319776794102,23.04954946535049,1.718075853761514,3.418361030589468,0.2969137023890668
 02/14  10:00:00,02/14 10:00:00,1.9,22.0,7885.2372520844265,15.430992665527253,1.0508655008541365,3.338782262147742,0.26879464240193224
 02/14  11:00:00,02/14 11:00:00,3.8,22.00000000000001,5262.748925611016,10.298921576538191,0.6350681778519224,3.188642005675347,0.23645401152914516
 02/14  12:00:00,02/14 12:00:00,5.7,22.000000000000004,3847.6568811013644,7.529661215462553,0.4158342463562248,3.242005504155153,0.21981891607046158
 02/14  13:00:00,02/14 13:00:00,7.2,21.999999999999996,2219.493996384444,4.343432478247444,0.21779705464361238,3.2301799507084765,0.20281934759551382
 02/14  14:00:00,02/14 14:00:00,8.7,22.0,2582.9927065619,5.054780247674951,0.22777766320202258,3.339230766782583,0.19292193307840638
 02/14  15:00:00,02/14 15:00:00,10.2,22.0,1454.572174017548,2.846520888488352,0.11380296962277683,3.3331794771991072,0.1758580759157125
 02/14  16:00:00,02/14 16:00:00,9.9,21.999999999999996,1273.802219337241,2.4927636386247376,0.10219359656906445,3.3019284919481766,0.17752078627355805
 02/14  17:00:00,02/14 17:00:00,9.7,22.0,1284.775672977878,2.5142381075888025,0.10477766804452764,3.2924600803084054,0.17921307968641012
 02/14  18:00:00,02/14 18:00:00,9.4,22.0,1855.8844454732289,3.6318677993605264,0.15504500854461378,3.3238886169644046,0.18425730941412158
 02/14  19:00:00,02/14 19:00:00,7.2,22.0,3097.472016491583,6.0615890733690465,0.30395228963531057,3.287908523425966,0.206444059418028
 02/14  20:00:00,02/14 20:00:00,4.9,22.0,3999.1325673452984,7.826091129834244,0.45341744306341064,3.201315741644938,0.2256216215197
 02/14  21:00:00,02/14 21:00:00,2.7,22.0,4403.457853662017,8.617334351589076,0.5634916245491082,3.0823520932285424,0.23990682070423505
 02/14  22:00:00,02/14 22:00:00,2.0,22.0,4663.096898758083,9.125434244144977,0.6183590882022686,3.0480500140734925,0.2443697580684394
 02/15  07:00:00,02/15 07:00:00,-2.9,21.978443592257182,10995.506634538062,21.517625507902274,1.8138713636739578,3.133413926831536,0.30254116815934096
 02/15  08:00:00,02/15 08:00:00,-2.5,22.0,13817.68003374029,27.040469733346946,2.2445926087311556,3.205986432639667,0.30526122644327847
 02/15  09:00:00,02/15 09:00:00,-2.0,22.0,12962.372698283849,25.366678470222798,2.0626809530250623,3.257252188906263,0.30469804373781245
 02/15  10:00:00,02/15 10:00:00,-0.2,22.0,10335.822495773271,20.22665850444867,1.5213681815983737,3.3479587286823733,0.29303711202459504
 02/15  11:00:00,02/15 11:00:00,1.7,22.0,8594.098072838085,16.81819583725653,1.156731748251085,3.384584946061088,0.27474500556044373
 02/15  12:00:00,02/15 12:00:00,3.5,22.0,7249.0219715758285,14.1859529776435,0.8891754365116199,3.3879713235606177,0.25463309393252365
 02/15  13:00:00,02/15 13:00:00,5.1,21.999999999999996,4581.377033334115,8.965512785389658,0.5133564833917837,3.2410534593518068,0.22625527674245371
 02/15  14:00:00,02/15 14:00:00,6.8,22.0,5239.991603314366,10.254386699245336,0.5280930978435675,3.3715978842701033,0.2162073256683834
 02/15  15:00:00,02/15 15:00:00,8.4,22.0,4334.481541778263,8.482351353773508,0.3908520359522954,3.424705273654619,0.2012948092111573
 02/15  16:00:00,02/15 16:00:00,8.7,22.0,4146.009929305993,8.113522366547931,0.3656101896496279,3.432364684882775,0.1983026859433445
 02/15  17:00:00,02/15 17:00:00,8.9,22.0,4060.280660503622,7.9457547172282235,0.35266605724441763,3.4392752618360762,0.19640243803924298
 02/15  18:00:00,02/15 18:00:00,9.2,22.0,4237.149400698801,8.29187749647515,0.35960031155304756,3.465380636239791,0.19441777111665706
 02/15  19:00:00,02/15 19:00:00,8.6,22.0,5049.970211989814,9.882524876692395,0.4486729911830528,3.4691743903593717,0.20158908959402339
 02/15  20:00:00,02/15 20:00:00,7.9,22.0,5524.153197689112,10.810475925027616,0.5164415061592057,3.4522464840693496,0.20868404288285555
 02/15  21:00:00,02/15 21:00:00,7.3,22.0,5743.96797022457,11.240641820400333,0.559842231949466,3.447511978093118,0.21531287533232696
 02/15  22:00:00,02/15 22:00:00,7.5,22.0,5879.414894791447,11.505704295090895,0.5652472040617244,3.477997520165145,0.2148914449058902
 02/16  07:00:00,02/16 07:00:00,7.9,21.98348895665609,9795.439086621436,19.16915672528657,0.9147338988989868,3.9082925614813133,0.23625146589693155
 02/16  08:00:00,02/16 08:00:00,8.3,21.999651707625294,12711.154782836695,24.87505828343776,1.1545994810373421,4.076902924158628,0.24099211352681735
 02/16  09:00:00,02/16 09:00:00,8.6,21.99999869004813,9124.45925146432,17.85608464083037,0.810677661726118,3.9027980098281003,0.22678637887359496
 02/16  10:00:00,02/16 10:00:00,9.3,21.999999992651787,6458.720132815773,12.639374036821472,0.5438592247289592,3.662459792624049,0.20425011408203675
 02/16  11:00:00,02/16 11:00:00,9.9,21.99999999996744,5158.2291768923915,10.094381950865737,0.41383032900274563,3.548128168176866,0.19075716017171765
 02/16  12:00:00,02/16 12:00:00,10.6,21.99999999999977,4641.787940648285,9.08373373903774,0.3508540221074983,3.563946146011109,0.18326757831363086
 02/16  13:00:00,02/16 13:00:00,10.6,22.0,3134.726290412072,6.134493719006012,0.23694131254165107,3.4796963555118956,0.17893523027983613
 02/16  14:00:00,02/16 14:00:00,10.6,22.0,3458.3476950286495,6.767803708470939,0.26140254879406555,3.4998698692492134,0.17997260594637166
 02/16  15:00:00,02/16 15:00:00,10.6,22.0,3551.7229383762224,6.950534125980866,0.26846040669551624,3.505468117567321,0.18026048274641987
 02/16  16:00:00,02/16 16:00:00,10.3,22.0,3166.9028971239504,6.197461638207339,0.2456727127461491,3.4654623717814768,0.1816787972436947
 02/16  17:00:00,02/16 17:00:00,9.9,22.0,3228.8200004726054,6.318630137911165,0.259039216224717,3.447491906821954,0.18534667708980976
 02/16  18:00:00,02/16 18:00:00,9.6,22.0,4101.243026148651,8.025915902443543,0.33718908077350374,3.480865701658575,0.19063190862049154
 02/16  19:00:00,02/16 19:00:00,9.1,22.0,4568.350211524095,8.940019983413103,0.3907377868406872,3.476018607975007,0.1961766261356377
 02/16  20:00:00,02/16 20:00:00,8.7,22.0,4964.177453995682,9.714632982379026,0.4377591687807599,3.471214339484591,0.20054720002118773
 02/16  21:00:00,02/16 21:00:00,8.2,22.0,5593.505994492881,10.946195683939102,0.5117990866961195,3.479717421413955,0.2068548145449513
 02/16  22:00:00,02/16 22:00:00,8.0,22.0,5420.217603612717,10.60707945912469,0.5031309924707633,3.4495957571746074,0.20737060851970507
 02/17  07:00:00,02/17 07:00:00,4.6,21.98231380632352,10123.543121563645,19.811238985447446,1.1668162272569813,3.701318461950553,0.26457275901991734
 02/17  08:00:00,02/17 08:00:00,4.8,22.0,12793.02630817725,25.035276532636498,1.4589420849105448,3.821786192013956,0.2706286250391673
 02/17  09:00:00,02/17 09:00:00,4.9,22.0,9738.95443684267,19.05861925018135,1.104192407853977,3.6981520323168207,0.26063753952896956
 02/17  10:00:00,02/17 10:00:00,5.4,22.0,7139.590627507955,13.971801619389344,0.7858102892829528,3.5020121620045623,0.24096041713114194
