Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [W](TimeStep),Cooling_demand_W_m2,Cooling_exergy_demand_W_m2,ASHP_cooling_COP,ASHP_cooling_exergy_efficiency
 04/24  15:00:00,04/24 15:00:00,25.5,22.0,10722.050053567551,20.98248542772515,0.24881822462150624,3.5059019846234967,0.11570598751788098
 04/24  16:00:00,04/24 16:00:00,24.6,22.0,10930.245599611017,21.389913110784768,0.1884254585398636,3.5763641570370357,0.1068981780942629
 04/24  17:00:00,04/24 17:00:00,23.7,21.999999999999996,6362.055239798718,12.450205948725475,0.07171048657575184,2.883933671640565,0.07722356640846623
 04/24  18:00:00,04/24 18:00:00,22.8,22.0,4029.522195459838,7.8855620263401915,0.021373707000075726,2.4727852001449486,0.058516350848031216
 04/24  19:00:00,04/24 19:00:00,22.0,21.999999999999996,2717.4688433124034,5.317942941902942,-0.0,2.4653899396439773,0.05151930057549553
 04/24  20:00:00,04/24 20:00:00,21.2,22.0,1778.8070486457682,3.481031406351797,-0.009435287565920802,2.464973479958353,0.044689702460643084
 04/24  21:00:00,04/24 21:00:00,20.4,21.999999999999996,1450.7794218049116,2.839098672808046,-0.01539067550903921,2.4835804338792498,0.038154661363251526
 04/25  06:00:00,04/25 06:00:00,19.2,21.999593758919367,310.92355857092525,0.6084609756769574,-0.005771458223461424,2.4861556026302036,0.027874959606992832
 04/25  07:00:00,04/25 07:00:00,19.2,21.999999999127965,481.3766467662774,0.9420286629477053,-0.008936744893918004,2.4928734441300366,0.027950280540347087
 04/25  08:00:00,04/25 08:00:00,19.1,21.99999999997522,5220.2353269157065,10.215724710206862,-0.1003747303382995,2.7731708866451545,0.030133781496884695
 04/25  09:00:00,04/25 09:00:00,19.1,21.999999999998867,6040.192191067011,11.820336968819982,-0.11614086806560835,3.0007808320784517,0.03260703274700951
 04/25  10:00:00,04/25 10:00:00,19.8,21.999999999999982,7491.869509269214,14.661192777434861,-0.10928214165799337,3.301689463031205,0.04387093150150123
 04/25  11:00:00,04/25 11:00:00,20.4,22.0,8483.856916619292,16.60245971941153,-0.09000147569391406,3.4569403254407427,0.05310816016702959
 04/25  12:00:00,04/25 12:00:00,21.1,22.000000000000004,7479.593348064078,14.637168978598979,-0.044633074981326556,3.238539820427264,0.05759419502333767
 04/25  13:00:00,04/25 13:00:00,21.1,22.0,8808.733455675198,17.238225940655965,-0.0525644700883948,3.4759860528318587,0.06181693902988281
 04/25  14:00:00,04/25 14:00:00,21.2,22.0,8913.36419664209,17.442982772293718,-0.04727896397708085,3.4876038332466908,0.06322988010849766
 04/25  15:00:00,04/25 15:00:00,21.2,22.0,8816.404759961924,17.253238277811985,-0.046764664144502865,3.4722464170163154,0.06295145181404341
 04/25  16:00:00,04/25 16:00:00,21.2,22.0,8779.679873635863,17.18136961572576,-0.04656986512817563,3.4663660113478847,0.06284484069558444
 04/25  17:00:00,04/25 17:00:00,21.2,22.0,4537.030107231913,8.87872819419161,-0.0240656701858496,2.544096497743907,0.04612419421131471
 04/25  18:00:00,04/25 18:00:00,21.2,22.0,2429.916465154857,4.755218131418507,-0.012888953092105455,2.4861780634374044,0.045074139264602804
 04/25  19:00:00,04/25 19:00:00,20.8,22.0,1698.0544967522878,3.3230029290651424,-0.013510430340092111,2.4771634766832586,0.04148339247156766
 04/25  20:00:00,04/25 20:00:00,20.3,22.0,1012.9359785719324,1.9822621889861691,-0.011417400377016646,2.4715836923465613,0.03711545991713942
 04/25  21:00:00,04/25 21:00:00,19.9,22.0,712.2470424947604,1.3938298287568698,-0.009917135830558945,2.475358010950479,0.03374732304866952
 04/26  08:00:00,04/26 08:00:00,20.5,21.99999977447702,5358.873222909392,10.487031747376502,-0.05329678220571881,2.7581008849976136,0.04332605643201177
 04/26  09:00:00,04/26 09:00:00,20.7,21.99999999294839,6417.655393409847,12.559012511565259,-0.055316673477431924,3.025526024736444,0.04961994970054606
 04/26  10:00:00,04/26 10:00:00,20.5,21.99999999963243,6938.271586904271,13.577830894137517,-0.06900473093762881,3.153118947916282,0.0495312590693667
 04/26  11:00:00,04/26 11:00:00,20.3,21.99999999998816,7264.907409285873,14.217039939894075,-0.08188706724598512,3.2319177144442435,0.04853329982609725
 04/26  12:00:00,04/26 12:00:00,20.1,21.99999999999987,5776.147327873252,11.303615123039632,-0.0727659452270837,2.889343299564926,0.04139010797399775
 04/26  13:00:00,04/26 13:00:00,20.2,22.0,7282.371334875136,14.251215919520815,-0.08691237897725836,3.240163990336271,0.047536389839704846
 04/26  14:00:00,04/26 14:00:00,20.2,22.0,7667.028137748146,15.003968958411244,-0.09150311409500456,3.31758845451758,0.04867228281408204
 04/26  15:00:00,04/26 15:00:00,20.3,21.999999999999996,7663.2919218368725,14.996657381285464,-0.08637749465758125,3.312135110298613,0.049737914320726585
 04/26  16:00:00,04/26 16:00:00,20.2,22.0,7771.147633570533,15.207725310314155,-0.0927457413469959,3.3377258001115013,0.04896771746286664
 04/26  17:00:00,04/26 17:00:00,20.2,22.0,3667.286402774978,7.1766857197161995,-0.04376769200572363,2.5590940318821156,0.03754442426334884
 04/26  18:00:00,04/26 18:00:00,20.1,22.0,1396.5600939893955,2.7329943130907934,-0.01759339046204439,2.4929237846430787,0.03571136203609355
 04/26  19:00:00,04/26 19:00:00,20.0,22.0,1010.1195586433066,1.976750603998643,-0.01339488805013478,2.4827592450052114,0.03470699021973378
 04/26  20:00:00,04/26 20:00:00,20.0,22.0,541.4535931046081,1.0595960726117575,-0.007180051313649032,2.46500651318112,0.03445882121541657
 04/26  21:00:00,04/26 21:00:00,19.9,22.0,134.02451510109182,0.2622788945226846,-0.0018661212214048663,2.452547757429388,0.03343634379193457
 04/28  12:00:00,04/28 12:00:00,17.8,21.999999999999982,3319.950703117332,6.496968107861707,-0.09245219736750525,2.6399276176458453,0.01681528525603293
 04/28  13:00:00,04/28 13:00:00,18.8,21.999999999999996,4086.7340069574598,7.997522518507749,-0.08670869747323331,2.622376194702889,0.02577405056465999
 04/28  14:00:00,04/28 14:00:00,19.9,22.0,4717.112126030881,9.231139189884308,-0.06567979772575759,2.5964874558192568,0.03539871831699397
 04/28  15:00:00,04/28 15:00:00,20.9,22.0,5590.5110017232055,10.940334641336998,-0.040773735746132724,2.8066196505386127,0.04797135789454595
 04/28  16:00:00,04/28 16:00:00,19.9,22.0,5810.412281134956,11.370669826095805,-0.08090261438184504,2.906764316116553,0.0396288189297773
 04/28  17:00:00,04/28 17:00:00,18.8,22.0,3507.4421006592784,6.863878866260818,-0.07441779560235348,2.607193679528176,0.025624829062953942
 04/28  18:00:00,04/28 18:00:00,17.8,22.0,2234.4597008086635,4.372719571054136,-0.06222402913239834,2.607661757229456,0.016609764603380806
 04/28  19:00:00,04/28 19:00:00,16.7,22.0,1223.7475574119387,2.394809310003794,-0.04300352140613286,2.615662566708426,0.006708653623979907
 05/01  10:00:00,05/01 10:00:00,16.8,22.0,3475.6926951335754,6.801746957208563,-0.1198342679230375,2.6825564306618213,0.007808094947664792
 05/01  11:00:00,05/01 11:00:00,18.7,22.0,5368.471385009001,10.505814843461842,-0.11746294759757456,2.832833072177459,0.02686267687486597
 05/01  12:00:00,05/01 12:00:00,20.6,22.0,5780.001545156336,11.311157622615138,-0.053652788994277306,2.869733138167462,0.04607226363633891
 05/01  13:00:00,05/01 13:00:00,21.1,21.999999999999996,7599.358112706957,14.871542294925552,-0.04534774882409772,3.2620973973044336,0.05801314299130245
 05/01  14:00:00,05/01 14:00:00,21.6,22.0,8249.610215584175,16.144051302513063,-0.02187911408099237,3.3581504452501947,0.06552911903760522
 05/01  15:00:00,05/01 15:00:00,22.1,22.0,8744.755900097976,17.113025244810128,0.005798077331801004,3.416327074433743,0.07257272849094287
 05/01  16:00:00,05/01 16:00:00,21.6,22.0,8692.420009547006,17.01060667230334,-0.02305350726383531,3.432528728819429,0.0669804963589265
 05/01  17:00:00,05/01 17:00:00,21.0,22.0,4574.322542726647,8.951707520013008,-0.030329349551119753,2.5523589083151874,0.04450831533314179
 05/01  18:00:00,05/01 18:00:00,20.5,22.0,2496.06665922632,4.884670566000627,-0.024824685241406096,2.51427047033322,0.039495808465719734
 05/01  19:00:00,05/01 19:00:00,18.7,21.999999999999996,1605.038057242444,3.1409746717073266,-0.03511846998690223,2.5528310799571545,0.02420752464750536
 05/01  20:00:00,05/01 20:00:00,17.0,22.0,564.8969749155882,1.1054735321244387,-0.018727317162873743,2.579697186944898,0.009293291004552439
 05/03  15:00:00,05/03 15:00:00,16.2,22.000000000000004,3078.1432398116895,6.023763678692152,-0.11837313005730844,2.6946273107698335,0.002250947013203848
 05/03  16:00:00,05/03 16:00:00,16.0,21.999999999999996,3635.1894344123875,7.113873648556531,-0.14461542229828603,2.7179275558523504,0.000390197919337119
 05/04  13:00:00,05/04 13:00:00,16.3,22.0,2691.119163109475,5.266378009998972,-0.10170541981024579,2.6793467524567656,0.003164944139811076
 05/04  14:00:00,05/04 14:00:00,17.4,22.0,3299.089586947201,6.456144005767516,-0.10062091284611438,2.6546204494885886,0.0132360364051155
 05/04  15:00:00,05/04 15:00:00,18.5,22.0,4244.25092207958,8.305774798590177,-0.09849300963938916,2.637644636562311,0.023187104691659126
 05/04  16:00:00,05/04 16:00:00,18.1,22.0,4724.159952827194,9.244931414534625,-0.12215901242312367,2.6643618820450947,0.01973565743084321
 05/04  17:00:00,05/04 17:00:00,17.6,21.999999999999996,2991.0318890151248,5.853291367935665,-0.08725895991501532,2.638218269676492,0.014979325958776804
 05/04  18:00:00,05/04 18:00:00,17.2,22.0,1894.9563177417685,3.70832938892714,-0.06030825365695525,2.6195708026812983,0.011249106106763591
 05/04  19:00:00,05/04 19:00:00,16.0,21.99999999999999,981.2795768216225,1.9203122834082633,-0.03903734948483674,2.633831326454677,0.0003781246859411763
 05/05  12:00:00,05/05 12:00:00,16.6,21.999999999999996,2899.8020764285657,5.674759445065686,-0.10382416060767254,2.6739492827552147,0.005933252694875881
 05/05  13:00:00,05/05 13:00:00,17.4,21.999999999999996,3695.864220991099,7.232610999982581,-0.11272238048422825,2.6654294417018076,0.013289930442760067
 05/05  14:00:00,05/05 14:00:00,18.1,22.000000000000004,4249.823332775108,8.316679711888664,-0.10989344698074104,2.652946381371482,0.01965109969406796
 05/05  15:00:00,05/05 15:00:00,18.9,22.000000000000004,5001.34733059659,9.78737246692092,-0.10279808452466596,2.7145430580342076,0.027618849266384214
 05/05  16:00:00,05/05 16:00:00,18.1,22.0,5017.584214116852,9.819147190052549,-0.1297464815897166,2.7507884606402913,0.0203758427448462
 05/05  17:00:00,05/05 17:00:00,17.3,22.0,2544.674025375158,4.979792613258627,-0.07929874735665073,2.636399902412651,0.012233281319201155
 05/05  18:00:00,05/05 18:00:00,16.5,21.999999999999996,995.1020251762625,1.9473620844936643,-0.0362882990503648,2.6150620695987388,0.004898061073738644
 05/08  10:00:00,05/08 10:00:00,17.4,22.0,4086.8670351292867,7.997782847611129,-0.12464780992380585,2.675578325341748,0.01334053315447933
 05/08  11:00:00,05/08 11:00:00,20.7,22.0,5188.858183349004,10.154321298138951,-0.04472511498417997,2.701179537127996,0.044300525485022425
 05/08  12:00:00,05/08 12:00:00,24.1,22.0,4947.970883284394,9.682917579812905,0.06889421283282095,2.501985372812711,0.07045772995375013
 05/08  13:00:00,05/08 13:00:00,24.7,21.999999999999996,6732.644080759845,13.17542872947132,0.12052738461654351,2.9229304114020307,0.08837793910590079
 05/08  14:00:00,05/08 14:00:00,25.3,22.0,7226.240786961453,14.14137140305568,0.15811121677141887,2.9969322530467615,0.09683513397223503
 05/08  15:00:00,05/08 15:00:00,25.9,22.0,8068.786711141555,15.790189258594042,0.2086455636405781,3.1219010974860115,0.10735207793424008
 05/08  16:00:00,05/08 16:00:00,25.4,22.0,8728.835375166249,17.081869618720642,0.19677572998017875,3.2519905685500126,0.10620126406849836
 05/08  17:00:00,05/08 17:00:00,24.9,21.999999999999996,5499.7283261373805,10.762677741951821,0.10574882416283193,2.623342527970828,0.08113435847203793
 05/08  18:00:00,05/08 18:00:00,24.4,22.000000000000004,3741.8214114945035,7.322546793531318,0.059542985954515446,2.406640153926778,0.07027004401722528
 05/08  19:00:00,05/08 19:00:00,22.5,22.0,2790.673678013248,5.461200935446669,0.009251568584527935,2.4491313916156137,0.05541520680866329
 05/08  20:00:00,05/08 20:00:00,20.7,22.000000000000004,1587.5269684072389,3.1067063961002717,-0.013683612789870838,2.4771076935710457,0.0406256492764884
 05/08  21:00:00,05/08 21:00:00,18.8,21.999999999999996,1076.249287514097,2.106162989264378,-0.022834902814318186,2.5304059004757478,0.0248701196112578
 05/09  09:00:00,05/09 09:00:00,16.0,21.999999999998643,4990.23064159563,9.765617693924911,-0.19852178947496615,2.825527976889245,0.00040564552032927424
 05/09  10:00:00,05/09 10:00:00,18.3,21.99999999999999,6710.930543433411,13.132936484214111,-0.1646344739677859,3.2011895585865258,0.025926611642362735
 05/09  11:00:00,05/09 11:00:00,20.7,22.0,7402.143495643547,14.48560370967426,-0.06380242189590599,3.241569008026874,0.053163149090133484
 05/09  12:00:00,05/09 12:00:00,23.0,22.0,6382.994370811096,12.491182721743828,0.04232147288410713,2.918566483088414,0.0710843955939397
 05/09  13:00:00,05/09 13:00:00,23.4,22.0,7929.871698969917,15.518339919706296,0.0736089306711451,3.216025910061869,0.0827788725346035
 05/09  14:00:00,05/09 14:00:00,23.9,22.0,8626.816673718928,16.88222441040886,0.10867771092589101,3.3094841339518615,0.0909080421054326
 05/09  15:00:00,05/09 15:00:00,24.3,22.0,9508.335965413258,18.6073110869144,0.14500022192072926,3.4194236680637045,0.09865895551770072
 05/09  16:00:00,05/09 16:00:00,23.9,22.0,10382.615133327388,20.318229223732658,0.13079666449294233,3.5514487198756495,0.09755455433358375
 05/09  17:00:00,05/09 17:00:00,23.6,22.0,6228.56121243723,12.188965190679511,0.06607604372382798,2.857096881974581,0.07551670943749617
 05/09  18:00:00,05/09 18:00:00,23.2,22.0,3526.741355369088,6.901646488002129,0.028060226276816404,2.444683713382284,0.06123372864403499
 05/09  19:00:00,05/09 19:00:00,21.8,21.999999999999996,2511.472651149677,4.914819278179407,-0.00333038744921481,2.466462040073154,0.04983545068256963
 05/09  20:00:00,05/09 20:00:00,20.5,21.999999999999996,1707.389993715682,3.341272003357499,-0.01698088431318413,2.488696416788329,0.039094074470742174
 05/09  21:00:00,05/09 21:00:00,19.1,22.0,1319.8943544645779,2.582963511672364,-0.02537894014517986,2.5278225745081326,0.0274677819134582
 05/10  07:00:00,05/10 07:00:00,16.3,21.99999477796664,85.33243310043233,0.16699106281884996,-0.0032249642652055384,2.5875387861868577,0.003056497151914685
 05/10  08:00:00,05/10 08:00:00,17.3,21.99999996190792,3462.1981150581337,6.775338777021788,-0.10789121462993546,2.662958497111885,0.012356517084799932
 05/10  09:00:00,05/10 09:00:00,18.4,21.99999999974698,4840.633468223625,9.472863929987524,-0.11554230101842362,2.6831165995898085,0.022658775676899674
 05/10  10:00:00,05/10 10:00:00,19.4,21.999999999997566,6110.411487059216,11.957752420859523,-0.10533679923498544,3.005964618750777,0.03578256822676786
 05/10  11:00:00,05/10 11:00:00,20.4,21.99999999999997,7099.265408129767,13.892887295752969,-0.07531295840489578,3.192437753604205,0.049044669441919916
 05/10  12:00:00,05/10 12:00:00,21.4,22.0,6009.922853041775,11.761101473662965,-0.02390872737319329,2.895949021277547,0.05450660727060242
 05/10  13:00:00,05/10 13:00:00,21.0,22.0,7649.194601270059,14.969069669804421,-0.0507168208361999,3.276454768310888,0.0571351785705636
 05/10  14:00:00,05/10 14:00:00,20.7,22.0,7824.652190528703,15.312430901230337,-0.06744421538742863,3.324150576300105,0.05451752291815796
 05/10  15:00:00,05/10 15:00:00,20.3,22.0,7365.898676413074,14.41467451352852,-0.08302539953582351,3.2527481056209013,0.0488461071775819
 05/10  16:00:00,05/10 16:00:00,20.0,22.0,7442.112874620607,14.563821672447371,-0.09868759391798984,3.2822487333477444,0.04588321437779789
 05/10  17:00:00,05/10 17:00:00,19.6,22.0,3569.4354499650653,6.9851965752741005,-0.056799836627672975,2.5788434623812155,0.03248217675420027
 05/10  18:00:00,05/10 18:00:00,19.3,22.0,1303.4262642807785,2.550736329316592,-0.023333857662730013,2.5197027813269948,0.029122635330172352
 05/10  19:00:00,05/10 19:00:00,18.6,22.0,839.680437130344,1.6432102487873659,-0.01892906944223955,2.5292480761782357,0.02310905208931995
 05/10  20:00:00,05/10 20:00:00,17.9,22.0,298.01974876395116,0.5832089016907067,-0.008101495839173014,2.5349377245005207,0.017023353455850838
 05/11  08:00:00,05/11 08:00:00,16.5,21.999999999997303,676.7078422839211,1.3242814917493564,-0.024677446060030493,2.603151266567403,0.004875751912758117
 05/11  09:00:00,05/11 09:00:00,16.9,21.999999999999908,2057.3288056089073,4.026083768314887,-0.0695681084818076,2.6363858033941963,0.008585608365516716
 05/11  10:00:00,05/11 10:00:00,17.7,22.0,3545.829194545937,6.939000380716119,-0.10109334791488848,2.6499370885646147,0.015962452441339536
 05/11  11:00:00,05/11 11:00:00,18.5,22.0,4490.064269484738,8.786818531281288,-0.10419740762149621,2.6436455880750804,0.023239858079680913
 05/11  12:00:00,05/11 12:00:00,19.3,22.0,4117.870337624435,8.058454672454863,-0.07371786418982897,2.6043695312331594,0.030101210621028513
 05/11  13:00:00,05/11 13:00:00,19.6,22.0,5407.1391624424305,10.581485640787536,-0.08604291220697896,2.8077615586080236,0.03536554605223757
 05/11  14:00:00,05/11 14:00:00,20.0,22.0,5997.6445520113675,11.737073487302089,-0.07953293909742214,2.951570562009592,0.04126059779441321
 05/11  15:00:00,05/11 15:00:00,20.3,22.000000000000004,6456.6939226687955,12.635408850623866,-0.07277721513149388,3.052205290187043,0.045834581065415755
 05/11  16:00:00,05/11 16:00:00,20.6,22.0,7353.851615878065,14.391099052598953,-0.06826203175889622,3.236386896231274,0.05195872338414582
 05/11  17:00:00,05/11 17:00:00,20.8,21.999999999999996,4036.3032628738165,7.898832216974201,-0.03211451350285983,2.546470967979853,0.04264403846434886
 05/11  18:00:00,05/11 18:00:00,21.1,22.0,2515.9006149302704,4.923484569335167,-0.015013166567513014,2.4925666164000564,0.04432780690486186
 05/11  19:00:00,05/11 19:00:00,20.4,22.0,1444.8811058253625,2.827555980088772,-0.015328102890537302,2.483373629768444,0.03815148428039619
 05/11  20:00:00,05/11 20:00:00,19.8,22.0,429.99113134259164,0.8414699243494944,-0.006272179683445334,2.468191013273376,0.032795888313653265
