T_bh,T_f_bh,T_f_bh_in,T_f_bh_out,Q_bh,Xin_g,Xout_g,Xc_g,Xin_GHE,Xout_GHE,Xc_GHE,Xin_HX,Xout_HX,Xc_HX,Xin_r,Xout_r,Xc_r,Xin_tank,Xout_tank,Xc_tank,Xin_mix,Xout_mix,Xc_mix,E_cmp,E_pmp,g_i,x1,x2,x3,x4,X_eff
281.64043540695144,279.7157653437769,278.65144265484554,280.7800880327083,17.821019103467506,61.846326925099994,-19.103776353537075,80.95010327863707,241.3731668843758,16.69970824004613,224.67345864432966,16.69970824004613,-90.32406308598311,107.02377132602925,2084.9951729826034,-923.313081650599,3008.3082546332025,923.313081650599,900.4952723998201,22.81780925077885,,,,2235.796179306499,200,,62623.55065016453,112280.52901566941,82666.40858003646,66990.35713408783,0.3696923741198256
281.6099988973756,279.6858064987301,278.62174795335534,280.7498650441048,17.816596283754727,61.830977906488926,-19.48622423168599,81.31720213817492,241.79610547089734,17.129587404881676,224.66651806601567,17.129587404881676,-89.88873070501398,107.01831810989566,2085.509682841457,-923.2814728824561,3008.791155723913,923.2814728824561,900.4952723998201,22.78620048263599,,,,2236.6807432490546,200,,62599.30349050347,112286.77743462108,82665.3634660512,66977.69781900087,0.36955816837913097
281.5795799235599,279.65586494598847,278.5920704095423,280.7196594824346,17.812175718254164,61.8156367109291,-19.868342981844364,81.68397969277346,242.22428838720052,17.564708233641383,224.65958015355915,17.564708233641383,-89.44816394645844,107.01287218009982,2086.024061033664,-923.2499088751922,3009.273969908856,923.2499088751922,900.4952723998201,22.75463647537208,,,,2237.5648563491673,200,,62575.06307193985,112293.02623225341,82664.3199531949,66965.03997406785,0.3694241283690502
281.5491788451561,279.6259410395861,278.562410374334,280.68947170483824,17.80775745898148,61.800303518936445,-20.250128221005504,82.05043173994196,242.657702155081,18.005057165735685,224.65264498934533,18.005057165735685,-89.00237652375694,107.00743368949261,2086.53830130386,-923.2183899422932,3009.7566912461534,923.2183899422932,900.4952723998201,22.72311754247312,,,,2238.4485082037036,200,,62550.8296866428,112299.27533226454,82663.27805128042,66952.38375225861,0.3692902554104679
281.5187960285957,279.59603514024514,278.5327682052952,280.65930207519506,17.803341558801492,61.78497851397379,-20.631575486017766,82.41655399999155,243.09633293961255,18.450620282569542,224.64571265704302,18.450620282569542,-88.55138251301418,107.00200279558372,2087.0523973010568,-923.1869164084526,3010.2393137095096,923.1869164084526,900.4952723998201,22.691644008632466,,,,2239.331688239701,200,,62526.60363225706,112305.5246571159,82662.23777048624,66939.7293094678,0.3691565508459598
281.48843184724103,279.5661476155119,278.5031442667562,280.62915096426764,17.79892807156604,61.769661882929356,-21.01268023192599,82.78234211485534,243.5401665417948,18.901383299947508,224.6387832418473,18.901383299947508,-88.09519635584094,106.99657965578845,2087.5663425572307,-923.1554886068683,3010.721831164099,923.1554886068683,900.4952723998201,22.660216207048165,,,,2240.2143856867924,200,,62502.38521235132,112311.77412775416,82661.19912126879,66927.07680477371,0.3690230160438866
281.4580866815372,279.53627883990714,278.4735389299615,280.5990187498528,17.794517052130388,61.754353816173676,-21.39343783017862,83.14779164635229,243.98918839008616,19.35733155954705,224.6318568305391,19.35733155954705,-87.63383287575822,106.99116443530527,2088.0801304778997,-923.1241068742697,3011.2042373521695,923.1241068742697,900.4952723998201,22.628834474449604,,,,2241.0965895739228,200,,62478.17473607468,112318.02366347825,82660.16211419768,66914.42640029138,0.36888965239879984
281.42776091916767,279.5064291950684,278.44395257320537,280.5689058169314,17.790108556474753,61.73905450798129,-21.77384356691817,83.51289807489945,244.44338353244683,19.81845002064694,224.6249335117999,19.81845002064694,-87.16730727927913,106.98575729992606,2088.5937543264054,-923.0927715507071,3011.686525877112,923.0927715507071,900.4952723998201,22.59749915088696,,,,2241.9782887050496,200,,62453.97251874207,112324.27318173819,82659.12675994696,66901.77826149084,0.36875646133501927
281.3974549552123,279.47659906993,278.4143855820237,280.53881255783625,17.78570264150279,61.7237641558315,-22.15389264085132,83.87765679668283,244.90273662655943,20.284723251068183,224.61801337549124,20.284723251068183,-86.69563516889072,106.9803584199589,2089.1072072631405,-923.0614829891481,3012.168690252289,923.0614829891481,900.4952723998201,22.566210589327966,,,,2242.859471699442,200,,62429.778881689985,112330.52259865218,82658.09306961528,66889.13255705143,0.3686234443004476
281.36716919230736,279.4467888608506,278.3848383493037,280.50873937239743,17.78129936534063,61.70848296144607,-22.53358016170502,84.2420631231511,245.36723193259127,20.756135418803503,224.61109651378777,20.756135418803503,-86.21883254812656,106.97496796693005,2089.620482289451,-923.0302415429547,3012.6507238324057,923.0302415429547,900.4952723998201,22.534969143134617,,,,2243.740126931874,200,,62405.594152658436,112336.7718282691,82657.06105430762,66876.48945915874,0.368490602775507
281.3369040408088,279.4169989717973,278.35531127547955,280.478686668115,17.776898787143754,61.693211130119074,-22.91290114804543,84.6061122781645,245.8368533028875,21.23267028263257,224.60418302025494,21.23267028263257,-85.73691583536925,106.96958611800181,2090.1335722849467,-922.9990475747995,3013.1326198597462,922.9990475747995,900.4952723998201,22.50377517497941,,,,2244.620242571249,200,,62381.41866563329,112343.02078305634,82656.03072543364,66863.84914335847,0.3683579382672051
281.30665991895785,279.387229814492,278.32580476866804,280.44865486031597,17.77250096727624,61.67794887133887,-23.291850525528286,84.96979939686716,246.311584173403,21.71431118306072,224.59727299034228,21.71431118306072,-85.24990187028156,106.96421305334228,2090.646469975539,-922.9679014503673,3013.614371425906,922.9679014503673,900.4952723998201,22.472629050547198,,,,2245.4998065447517,200,,62357.25276118491,112349.26937347837,82655.00209449788,66851.2117887843,0.3682254523144414
281.27643725305006,279.3574818085957,278.29631924486125,280.41864437233016,17.768105967169753,61.662696398298834,-23.670423124705838,85.33311952300467,246.79140755396213,22.20104103268285,224.5903665212793,22.20104103268285,-84.75780792318943,106.95884895587228,2091.1591679641924,-922.9368035473786,3014.095971511571,922.9368035473786,900.4952723998201,22.44153114755852,,,,2246.3788065660497,200,,62333.09678656685,112355.51750841057,82653.9751733983,66838.57757814872,0.3680931464836526
281.24623647760666,279.3277553818649,278.26685512807484,280.38865563565497,17.763713849460686,61.647453928373224,-24.04861367915829,85.69606760753152,247.27630601879707,22.69284230664473,224.58346371215234,22.69284230664473,-84.26065170757958,106.95349401422432,2091.671658702327,-922.9057542478297,3014.577412950157,922.9057542478297,900.4952723998201,22.410481848009567,,,,2247.257230107862,200,,62308.95109573069,112361.76509475034,82652.94997416888,66825.94669780793,0.3679610223728427
281.2160580355493,279.2980509703203,278.2374128505134,280.35868909012714,17.75932467804638,61.63222168331229,-24.42641682349248,86.05863850680477,247.76626169675683,23.18969703263812,224.5765646641187,23.18969703263812,-83.75845138581298,106.9481484184511,2092.1839344846626,-922.8747539395181,3015.0586884241807,922.8747539395181,900.4952723998201,22.379481539697963,,,,2248.135064390725,200,,62284.81604973557,112368.01203735937,82651.92650903077,66813.31933797395,0.36782908161316225
281.18590237837765,279.26836901842626,278.20799285275086,280.32874518410165,17.754938518068556,61.61699988918485,-24.803827091205395,86.42082698039025,248.26125626131181,23.691586781013303,224.5696694802985,23.691586781013303,-83.25122558131106,106.94281236232436,2092.6959874524614,-922.8438030168707,3015.539790469332,922.8438030168707,900.4952723998201,22.34853061705053,,,,2249.0122963862896,200,,62260.69201675523,112374.25823910271,82650.90479041968,66800.69569271247,0.36769732586829873
281.1557699663504,279.23870997927776,278.17859558392075,280.29882437463476,17.750555435857876,61.601788776185785,-25.180838912454327,86.7826276886401,248.76127091985256,24.198492654207612,224.56277826564497,24.198492654207612,-82.73899339076073,106.93748604496834,2093.207809605357,-922.8129018843618,3016.020711489719,922.8129018843618,900.4952723998201,22.317629484541726,,,,2249.8889128284245,200,,62236.57937211075,112380.50360100478,82649.884831098,66788.07595994018,0.3675657568326999
281.12566126866915,279.20907431477013,278.14922150187806,280.2689271276622,17.74617549906484,61.586588579090396,-25.557446612045958,87.14403519113635,249.26628640359087,24.710395276494364,224.55589112709652,24.710395276494364,-82.22177439291882,106.93216966941318,2093.7193927784765,-922.7820509522635,3016.50144373074,922.7820509522635,900.4952723998201,22.286778552443366,,,,2250.7649001870323,200,,62212.478498552984,112386.74802194627,82648.86664401431,66775.4603416076,0.3674343762353941
281.0955767636657,279.17946249578836,278.1198710733898,280.2390539181869,17.741798776641946,61.57139953719245,-25.933644407180307,87.50504394437276,249.77628295671218,25.227274782899777,224.5490081738124,25.227274782899777,-81.69958866004124,106.92686344294103,2094.2307286476776,-922.7512506387739,3016.9819792864514,922.7512506387739,900.4952723998201,22.25597823895373,,,,2251.640244671611,200,,62188.389786372296,112392.99139873518,82647.85024237417,66762.84904374566,0.36730318583933935
281.06551693899286,279.1498750023943,278.09054477432005,280.20920523046857,17.737425338875344,61.55622189441402,-26.30942640522433,87.86564829963835,250.29124032543183,25.74911080838902,224.5421295170428,25.74911080838902,-81.17245676608529,106.92156757447431,2094.74180872819,-922.7205013719531,3017.462310100143,922.7205013719531,900.4952723998201,22.22522897213298,,,,2252.5149322249313,200,,62164.31363373186,112399.23362609521,82646.83563970315,66750.24227663185,0.3671721874422543
281.0354822918189,279.12031232400733,278.06124308980316,280.1793815582115,17.7330552575144,61.54105589975519,-26.684786601595583,88.22584250135077,250.8111377470406,26.275882476603183,224.5352552704374,26.275882476603183,-80.64039980263226,106.91628227923545,2095.2526243458506,-922.6898035812683,3017.942427927119,922.6898035812683,900.4952723998201,22.194531181448156,,,,2253.388948497119,200,,62140.25044658099,112405.4745962724,82645.82284956961,66737.64025480894,0.3670413828803784
281.0054733290248,279.09077495962407,278.0319665144758,280.14958340477233,17.728688605562628,61.5259018065684,-27.05971887709483,88.58562068366322,251.3359539377198,26.807568388493603,224.52838554922621,26.807568388493603,-80.10343938892863,106.91100777742224,2095.7631666837306,-922.6591577116576,3018.4223243953884,922.6591577116576,900.4952723998201,22.163885311837475,,,,2254.2622788874737,200,,62116.200638859664,112411.71419966173,82644.81188604477,66725.04319709347,0.36691077402208944
280.9754905674064,279.0612634179943,278.00271555263845,280.1198112833502,17.72432545751925,61.51075987339686,-27.43421699586869,88.94497686926555,251.86566708176525,27.344146610181376,224.52152047158387,27.344146610181376,-79.56159768180517,106.90574429198654,2096.2734267367114,-922.6285642133149,3018.901990950026,922.6285642133149,900.4952723998201,22.133291813494793,,,,2255.1349084961503,200,,62092.16463281214,112417.95232420601,82643.80276336917,66712.45132682167,0.3667803627750145
280.9455345338785,279.0317782178224,277.97349071845497,280.0900657171899,17.719965889408375,61.495630364075765,-27.808274603019296,89.30390496709506,252.40025481936462,27.88559466168763,224.51466015767699,27.88559466168763,-79.01489738800933,106.90049204969696,2096.7833953079316,-922.5980235419544,3019.381418849886,922.5980235419544,900.4952723998201,22.102751142134252,,,,2256.006822118325,200,,62068.14285916157,112424.18885534613,82642.79549596118,66699.86487194354,0.36665015108676935
280.9156057656846,279.002319887989,277.94429253618165,280.0603472397964,17.715609978662403,61.48051354732764,-28.181885221941435,89.66239876926907,252.93969423406,28.431889503973604,224.5078047300864,28.431889503973604,-78.46336177928359,106.8952512832572,2097.293063032235,-922.5675361648655,3019.8605991971003,922.5675361648655,900.4952723998201,22.072263765045363,,,,2256.87800426752,200,,62044.135757078024,112430.42367633212,82641.79009861365,66687.28406496404,0.36652014094134433
280.88570481060924,278.972888967755,277.91512154036576,280.03065639514426,17.71125780420584,61.46540969705325,-28.555042251909935,90.02045194896318,253.4839618406206,28.983007526930304,224.5009543136903,28.983007526930304,-77.90701470290347,106.89002222983378,2097.8024203633977,-922.5371025595464,3020.339522922944,922.5371025595464,900.4952723998201,22.04183015972626,,,,2257.748439158832,200,,62020.14377448238,112436.65666805598,82640.78658645146,66674.70914311896,0.3663903343614841
280.85583222719504,278.94348600696634,277.8859782760441,280.00099373788856,17.7069094465619,61.45031909270157,-28.927738965674678,90.37805805837624,254.03303357225022,29.538924536382158,224.49410903586806,29.538924536382158,-77.34588059418905,106.88480513057121,2098.3114575555055,-922.5067232102926,3020.8181807657984,922.5067232102926,900.4952723998201,22.011450810472525,,,,2258.6181106876193,200,,61996.167368285795,112442.88770880364,82639.78497481762,66662.14034853119,0.3662607334117344
280.8259885849632,278.914111566277,277.85686329896714,279.9713598335868,17.702564987835494,61.435242019210655,-29.29996850680535,90.735210526016,254.5868847679278,30.09961574125277,224.48726902667505,30.09961574125277,-76.77998449173373,106.87960023298649,2098.8201646664343,-922.476398609188,3021.2965632756222,922.476398609188,900.4952723998201,21.981126209367858,,,,2259.487002432901,200,,61972.20700440557,112449.11667430148,82638.78527930652,66649.57792821465,0.36613134019779686
280.79617446463897,278.88476621737084,277.8277771758191,279.94175525892257,17.698224511741827,61.42017876710701,-29.67172388706153,91.09190265416854,255.14549015864878,30.665055740134324,224.48043441851445,30.665055740134324,-76.20935204629609,106.87440778643041,2099.3285315596286,-922.4461292599934,3021.774660819622,922.4461292599934,900.4952723998201,21.950856860173303,,,,2260.355097651635,200,,61948.26315825673,112455.34343774412,82637.78751589105,66637.02213431222,0.36600215686724524
280.76639045838033,278.8554505431909,277.79872048444713,279.91218060193466,17.693888103605968,61.40512963250399,-30.042997983661728,91.44812761616572,255.70882385415246,31.235218507741738,224.47360534641072,31.235218507741738,-75.63400954097123,106.86922804871297,2099.836547900021,-922.41591567536,3022.2524635753807,922.41591567536,900.4952723998201,21.920643275539874,,,,2261.2223792788063,200,,61924.33631452163,112461.56786973265,82636.79170083228,66624.47322399548,0.36587318560937415
280.73663717001193,278.82616513815833,277.7696938140723,279.88263646224436,17.689555850496372,61.39009491756526,-30.413783536725905,91.80387845429117,256.2768593293588,31.81007738116308,224.46678194819572,31.81007738116308,-75.05398389838136,106.86406127954444,2100.34420313626,-922.385758376384,3022.729961512644,922.385758376384,900.4952723998201,21.890485976563923,,,,2262.088829900726,200,,61900.42696777945,112467.78983804768,82635.79785066235,66611.93145980948,0.36574442865902973
280.70691521526305,278.7969106084179,277.74069776553927,279.8531234512965,17.685227841159065,61.37507493027632,-30.784073146333636,92.15914807660995,256.849569409897,32.38960504550169,224.45996436439532,32.38960504550169,-74.4693027000193,106.85890774552098,2100.851486511937,-922.35565789473,3023.207144406667,922.35565789473,900.4952723998201,21.860385494909906,,,,2262.9544317681866,200,,61876.535622381634,112474.00920779316,82634.80598225605,66599.39710959257,0.36561588829450775
280.6772252220102,278.7676875720746,277.71173295154955,279.8236421925996,17.680904166070608,61.360069984628375,-31.153859269723178,92.51392925435155,257.42692625773566,32.973773519744434,224.45315273799122,32.973773519744434,-73.87999419968656,106.853767719431,2101.3583870587327,-922.3256147726266,3023.684001831359,922.3256147726266,900.4952723998201,21.830342372806513,,,,2263.819166785878,200,,61852.66279272645,112480.22584130686,82633.81611283022,66586.8704466274,0.3654875668389826
280.64756783052377,278.73849665943175,277.6827999968948,279.7941933219687,17.676584917518735,61.34508040089811,-31.523134218493805,92.86821461939192,258.0089013569045,33.5625541416357,224.44634721526882,33.5625541416357,-73.28608733518526,106.84864147682096,2101.8648935856695,-922.2956295626296,3024.160523148299,922.2956295626296,900.4952723998201,21.80035716280952,,,,2264.683016496253,200,,61828.80900365082,112486.4395980209,82632.8282599349,66574.35174985544,0.3653594666627546
280.61794369372126,278.70933851324145,277.6538995387056,279.7647774877773,17.672270189627806,61.33010650573612,-31.89189015564018,93.2219966613763,258.59546549803747,34.1559175529686,224.43954794506885,34.1559175529686,-72.68761174766317,106.84352930063177,2102.3709946730987,-922.2657028258603,3024.636697498959,922.2657028258603,900.4952723998201,21.770430426040207,,,,2265.5459620744396,200,,61804.9747904129,112492.65033437822,82631.84244139737,66561.84130388524,0.36523159018385093
280.58835347742223,278.68021378895696,277.6250322267029,279.735395351211,17.66796007838229,61.31514863224829,-32.260119092557034,93.57526772480531,259.1865887636005,34.753833684145214,224.43275507945532,34.753833684145214,-72.0845977934777,106.83843147762292,2102.876678673906,-922.2358351349956,3025.112513808902,922.2358351349956,900.4952723998201,21.740562735175445,,,,2266.4079843235413,200,,61781.16069908536,112498.85790385246,82630.85867541714,66549.33939918311,0.36510393986856876
280.5587978606118,278.65112315500295,277.59619872347145,279.70604758653445,17.66365468156316,61.30020711977517,-32.62781288578305,93.92802000555822,259.78224051134913,35.35627173836949,224.42596877297964,35.35627173836949,-71.47707656613294,106.83334830450244,2103.3819337241034,-922.2060270761085,3025.587960800212,922.2060270761085,900.4952723998201,21.71075467628839,,,,2267.2690636873685,200,,61757.367286420165,112505.06215708338,82629.87698062928,66536.84633199137,0.36497651822943755
280.5292775357057,278.6220672928527,277.5673997044335,279.6767348812719,17.659354100490887,61.285282319940805,-32.99496323708511,94.28024555702592,260.3823893652856,35.96320017732438,224.4191891879612,35.96320017732438,-70.86507990598552,106.8282800833099,2103.886747393467,-922.1762791603958,3026.063026553863,922.1762791603958,900.4952723998201,21.681006760575656,,,,2268.129179901823,200,,61733.59512075041,112511.2629372164,82628.89737319615,66524.36240549551,0.36484932787660646
280.49979320882386,278.5930468981098,277.5386358593772,279.64745793684233,17.655058432537917,61.27037457066796,-33.36156167622565,94.63193624689362,260.9870031705642,36.5745866974054,224.4124164731588,36.5745866974054,-70.24864040880342,106.82322710620883,2104.391108236823,-922.1465922391658,3026.537700475989,922.1465922391658,900.4952723998201,21.65131983934566,,,,2268.9883134924166,200,,61709.844781291424,112517.4601006469,82627.91988047303,66511.88792625006,0.3647223712963054
280.470345600066,278.5640626791851,277.5099078902497,279.6182174681205,17.65076778593444,61.25548424756029,-33.727599585330836,94.98308383289113,261.59604903312663,37.19039822788994,224.4056508052367,37.19039822788994,-69.62779146448085,106.8181896923708,2104.895002730173,-922.1169666860911,3027.011969416264,922.1169666860911,900.4952723998201,21.62169428627101,,,,2269.8464428131115,200,,61686.11685982869,112523.65347604366,82626.94451408024,66499.42321140092,0.3645956512884145
280.4409354437955,278.5351153591794,277.4812165139235,279.5890142044352,17.646482264964273,61.24061171252587,-34.09306816785058,95.33367988037645,262.20949324635296,37.81060089884724,224.39889234750572,37.81060089884724,-69.0025672640397,106.81316816288694,2105.398418328902,-922.0874032114021,3027.485821540304,922.0874032114021,900.4952723998201,21.592130811582024,,,,2270.7035470071455,200,,61662.41195875745,112529.84290523364,82625.97129671264,66486.96858135227,0.36446917052862265
280.41156348892616,278.5062056753451,277.45256246120255,279.5598488894876,17.642201977602664,61.2257573402836,-34.45795845941575,95.68371579969934,262.8273013026547,38.43516003188295,224.39214127077173,38.43516003188295,-68.37300280636856,106.80816283825152,2105.901341911027,-922.0579024566742,3027.959244367701,922.0579024566742,900.4952723998201,21.56263005685412,,,,2271.559604479466,200,,61638.730693412916,112536.02822241529,82625.00024879735,66474.52436414768,0.3643429317940617
280.38223049921686,278.4773343795529,277.42394647738337,279.5307222817224,17.637927033926026,61.21092151284429,-34.82226132135336,96.03318283419765,263.44943786975557,39.06404012025649,224.38539774949908,39.06404012025649,-67.73913392801848,106.80317404827497,2106.403760095667,-922.0284650753844,3028.4322251710514,922.0284650753844,900.4952723998201,21.533192675564237,,,,2272.4145932147944,200,,61615.07369127439,112542.20925839464,82624.03139114624,66462.09089442703,0.3642169379161193
280.35293725357036,278.44850223858197,277.39536932254106,279.5016351546229,17.633657546188928,61.19610461977784,-35.185967437274805,96.38207205705265,264.0758667725986,39.697204811452245,224.37866196114635,39.697204811452245,-67.10099731845074,106.79820212990299,2106.90565923389,-921.9990917335197,3028.90475096741,921.9990917335197,900.4952723998201,21.50381933369954,,,,2273.2684907622142,200,,61591.44159241344,112548.38584047371,82623.06474497492,66449.66851366402,0.3640911917825406
280.3236845463386,278.41971003441995,277.3668317718258,279.4725882970141,17.629393628876304,61.18130705839445,-35.54906730953422,96.73037436792868,264.7065509754786,40.334616888285055,224.37193408719355,40.334616888285055,-66.4586305376909,106.79324742597595,2107.407025402036,-921.9697831096838,3029.37680851172,921.9697831096838,900.4952723998201,21.474510709863694,,,,2274.12127422474,200,,61567.835049779285,112554.55779235592,82622.10033190687,66437.25757032522,0.3639656963387893
280.2944731876336,278.39095856456936,277.3383346157672,279.4435825133715,17.62513539874342,61.16652923388332,-35.91155125560258,97.0780804894859,265.3414525628608,40.9762382505806,224.36521431228022,40.9762382505806,-65.81207203598377,106.78831028656438,2107.907844396869,-921.940539895437,3029.848384292306,921.940539895437,900.4952723998201,21.445267495616918,,,,2274.9729202513163,200,,61544.25472944215,112560.72493408942,82621.1381739839,66424.8584200003,0.363840454589047
280.2653040036452,278.3622486423604,277.3098786605843,279.4146186241365,17.620882974859377,61.15177155946359,-36.27340940436292,97.4251809638265,265.9805327207665,41.62202989571807,224.35850282504845,41.62202989571807,-65.16136117278828,106.78339106850635,2108.408101730207,-921.9113627955062,3030.319464525713,921.9113627955062,900.4952723998201,21.41609039568607,,,,2275.8234050281244,200,,61520.701310845005,112566.88708198768,82620.17829367294,66412.47142554054,0.36371546959731194
280.2361778369639,278.33358109726805,277.2814647284992,279.3856974660369,17.616636478665402,61.137034456586704,-36.63463169237816,97.77166614896487,266.6237517170939,42.27195189932749,224.35179981776642,42.27195189932749,-64.5065382358852,106.77849013521269,2108.907782621562,-921.8822525280124,3030.7900351495746,921.8822525280124,900.4952723998201,21.38698012819225,,,,2276.6727042669195,200,,61497.175487129556,112573.04404854092,82619.22071387476,66400.09695723694,0.3635907444889297
280.2070955469111,278.3049567752391,277.25309365806277,279.3568198924154,17.612396034000156,61.122318355024156,-36.995207859999525,98.11752621502367,267.2710688816945,42.925963395251614,224.34510548644286,42.925963395251614,-63.84764446300265,106.77360785825427,2109.406871995272,-921.8532098248626,3031.2600818201345,921.8532098248626,900.4952723998201,21.35793742504245,,,,2277.5207931999685,200,,61473.677965311974,112579.19564237083,82618.26545793386,66387.73539291523,0.3634662824511513
280.17805800987486,278.2763765389114,277.2247663043091,279.32798677351366,17.608161768180235,61.10762369661735,-37.355127449649245,98.4627511462666,267.9224425904064,43.58402255657122,224.33842003383515,43.58402255657122,-63.18472206730857,106.7687446238798,2109.905354256588,-921.824235372126,3031.729589628714,921.824235372126,900.4952723998201,21.32896297230593,,,,2278.367646363952,200,,61450.20946643414,112585.34166523124,82617.31254767999,66375.38711849501,0.36334208676462887
280.1490661196529,278.2478412685004,277.19648353994285,279.29919899705794,17.603933806967845,61.0929509178133,-37.714379791046014,98.80733070885931,268.5778302245806,44.246086569034645,224.33174365554598,44.246086569034645,-62.51781422638879,106.76390079542344,2110.4032143644163,-921.795330109211,3032.1985444736274,921.795330109211,900.4952723998201,21.3000577093909,,,,2279.213238606432,200,,61426.77072685177,112591.4819264058,82616.36201326601,66363.05252631186,0.36321816065567214
