,T_b,T_b_f_in,T_b_f_out,T_tank_w,COP,g_conv,Q_b_unit,Q_ref_cond,Q_ref_evap,Q_env_loss,Q_use_loss,total_loss,Q_ref,is_on,E_cmp,E_pmp,Xc_g,Xg,Xb,X_ref_tank,dV_w_serv,dV_w_sup_tank,dV_w_sup_mix
2151,288.73650245677015,288.73650245677015,288.73650245677015,64.90464445894344,0.0,31.70191437705781,0.0,0.0,0.0,29.268071055519222,0.0,29.268071055519222,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,288.7381525782288,288.7381525782288,288.7381525782288,64.89629849946556,0.0,31.717530076321303,0.0,0.0,0.0,29.264307532322057,0.0,29.264307532322057,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,288.7397845251109,288.7397845251109,288.7397845251109,64.88795361317806,0.0,31.7330835727965,0.0,0.0,0.0,29.260544493068874,0.0,29.260544493068874,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,288.74139862201287,288.74139862201287,288.74139862201287,64.87960979994293,0.0,31.74857555048284,0.0,0.0,0.0,29.256781937697443,0.0,29.256781937697443,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155,288.7429951856038,288.7429951856038,288.7429951856038,64.8712670596222,0.0,31.764006681181748,0.0,0.0,0.0,29.25301986614555,0.0,29.25301986614555,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,288.74457452500593,288.74457452500593,288.74457452500593,64.8629253920779,0.0,31.779377624788843,0.0,0.0,0.0,29.249258278350975,0.0,29.249258278350975,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2157,288.74613694204487,288.74613694204487,288.74613694204487,64.85458479717207,0.0,31.79468902957661,0.0,0.0,0.0,29.245497174251504,0.0,29.245497174251504,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2158,288.7476827312902,288.7476827312902,288.7476827312902,64.8462452747668,0.0,31.80994153247514,0.0,0.0,0.0,29.241736553784953,0.0,29.241736553784953,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,288.7492121804035,288.7492121804035,288.7492121804035,64.83790682472417,0.0,31.8251357593395,0.0,0.0,0.0,29.23797641688913,0.0,29.23797641688913,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,288.75072557030904,288.75072557030904,288.75072557030904,64.82956944690629,0.0,31.8402723252105,0.0,0.0,0.0,29.234216763501845,0.0,29.234216763501845,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2161,288.7522231753909,288.7522231753909,288.7522231753909,64.82123314117528,0.0,31.855351834567745,0.0,0.0,0.0,29.230457593560935,0.0,29.230457593560935,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,288.75370526368346,288.75370526368346,288.75370526368346,64.81289790739329,0.0,31.870374881575245,0.0,0.0,0.0,29.226698907004227,0.0,29.226698907004227,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,288.75517209705345,288.75517209705345,288.75517209705345,64.80456374542248,0.0,31.88534205032,0.0,0.0,0.0,29.22294070376957,0.0,29.22294070376957,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,288.7566239313812,288.7566239313812,288.7566239313812,64.79623065512503,0.0,31.900253915043542,0.0,0.0,0.0,29.219182983794813,0.0,29.219182983794813,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,288.7580610167265,288.7580610167265,288.7580610167265,64.78789863636312,0.0,31.915111040366956,0.0,0.0,0.0,29.21542574701781,0.0,29.21542574701781,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2166,288.75948359749646,288.75948359749646,288.75948359749646,64.77956768899898,0.0,31.929913981509458,0.0,0.0,0.0,29.21166899337643,0.0,29.21166899337643,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2167,288.7608919126063,288.7608919126063,288.7608919126063,64.77123781289484,0.0,31.944663284500685,0.0,0.0,0.0,29.207912722808555,0.0,29.207912722808555,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,288.76228619563216,288.76228619563216,288.76228619563216,64.76290900791294,0.0,31.959359486387076,0.0,0.0,0.0,29.204156935252055,0.0,29.204156935252055,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2169,288.76366667496063,288.76366667496063,288.76366667496063,64.75458127391555,0.0,31.97400311543238,0.0,0.0,0.0,29.20040163064483,0.0,29.20040163064483,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,288.76503357393267,288.76503357393267,288.76503357393267,64.74625461076495,0.0,31.988594691312663,0.0,0.0,0.0,29.196646808924772,0.0,29.196646808924772,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,288.7663871109837,288.7663871109837,288.7663871109837,64.73792901832346,0.0,32.00313472530583,0.0,0.0,0.0,29.192892470029793,0.0,29.192892470029793,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,288.7677274997772,288.7677274997772,288.7677274997772,64.72960449645338,0.0,32.01762372047591,0.0,0.0,0.0,29.189138613897804,0.0,29.189138613897804,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,288.7690549493372,288.7690549493372,288.7690549493372,64.72128104501705,0.0,32.03206217185233,0.0,0.0,0.0,29.18538524046673,0.0,29.18538524046673,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,288.77036966417205,288.77036966417205,288.77036966417205,64.71295866387683,0.0,32.04645056660427,0.0,0.0,0.0,29.181632349674498,0.0,29.181632349674498,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,288.7716718443973,288.7716718443973,288.7716718443973,64.70463735289509,0.0,32.06078938421023,0.0,0.0,0.0,29.177879941459047,0.0,29.177879941459047,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2176,288.772961685855,288.772961685855,288.772961685855,64.69631711193422,0.0,32.07507909662314,0.0,0.0,0.0,29.174128015758324,0.0,29.174128015758324,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2177,288.7742393802251,288.7742393802251,288.7742393802251,64.68799794085663,0.0,32.089320168430945,0.0,0.0,0.0,29.170376572510285,0.0,29.170376572510285,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2178,288.77550511513925,288.77550511513925,288.77550511513925,64.67967983952475,0.0,32.10351305701286,0.0,0.0,0.0,29.166625611652893,0.0,29.166625611652893,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,288.77675907428596,288.77675907428596,288.77675907428596,64.67136280780102,0.0,32.11765821269162,0.0,0.0,0.0,29.162875133124114,0.0,29.162875133124114,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,288.7780014375146,288.7780014375146,288.7780014375146,64.6630468455479,0.0,32.13175607888157,0.0,0.0,0.0,29.15912513686193,0.0,29.15912513686193,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,288.77923238093655,288.77923238093655,288.77923238093655,64.65473195262787,0.0,32.14580709223291,0.0,0.0,0.0,29.155375622804332,0.0,29.155375622804332,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,288.7804520770226,288.7804520770226,288.7804520770226,64.64641812890342,0.0,32.15981168277212,0.0,0.0,0.0,29.1516265908893,0.0,29.1516265908893,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,288.7816606946965,288.7816606946965,288.7816606946965,64.63810537423707,0.0,32.1737702740389,0.0,0.0,0.0,29.14787804105485,0.0,29.14787804105485,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,288.78285839942595,288.78285839942595,288.78285839942595,64.62979368849136,0.0,32.18768328321932,0.0,0.0,0.0,29.144129973238986,0.0,29.144129973238986,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,288.7840453533122,288.7840453533122,288.7840453533122,64.62148307152883,0.0,32.201551121275735,0.0,0.0,0.0,29.140382387379724,0.0,29.140382387379724,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,288.7852217151753,288.7852217151753,288.7852217151753,64.61317352321204,0.0,32.21537419307329,0.0,0.0,0.0,29.136635283415096,0.0,29.136635283415096,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,288.7863876406373,288.7863876406373,288.7863876406373,64.60486504340359,0.0,32.2291528975032,0.0,0.0,0.0,29.132888661283133,0.0,29.132888661283133,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,288.78754328217775,288.78754328217775,288.78754328217775,64.59655763196608,0.0,32.242887627602954,0.0,0.0,0.0,29.129142520921878,0.0,29.129142520921878,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189,288.78868878931524,288.78868878931524,288.78868878931524,64.58825128876212,0.0,32.25657877067461,0.0,0.0,0.0,29.12539686226938,0.0,29.12539686226938,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
