Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Day Type Index [](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),BLDG_OCC_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),BLDG_EQUIP_SCH:Schedule Value [](TimeStep),BLDG_SWH_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CORE_ZN  IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),CORE_ZN  IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_2  IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_2  IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),DistrictHeating:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep) 
 03/04  10:00:00,1.6,64.0,2.0,20.0,223.0,95.0,7.0,5.854468941292119,20.999999999999998,20.999999999999998,20.999999999999998,20.999999999999998,20.999999999999998,0.3,0.3,0.5,0.21,24.0,21.0,1322255.5047370736,0.0,2730752.6315636818,0.0,2097497.7248861745,0.0,4708975.429457628,0.0,2747567.470875379,0.0,13607048.761519935,0.0 
 03/04  11:00:00,2.4,55.0,3.1,20.0,308.0,234.0,7.0,9.99695621938841,20.999999999999998,20.999999999999998,20.999999999999998,20.999999999999998,20.999999999999998,0.3,0.3,0.5,0.19,24.0,21.0,675009.0099233046,0.0,415199.4531648711,0.0,1131425.772554459,0.0,3698523.1889353075,0.0,2104633.7080704525,0.0,8024791.132648394,0.0 
 03/04  12:00:00,3.3,50.0,4.1,20.0,337.0,382.0,7.0,15.610733247730066,21.000000000000008,21.494524147403724,21.000000000000008,21.000000000000008,21.000000000000008,0.3,0.3,0.5,0.23,24.0,21.0,215225.90477240698,0.0,0.0,0.0,1263505.9552596077,0.0,3065968.7295145124,0.0,1657525.3891191676,0.0,6202225.978665695,0.0 
 03/04  13:00:00,3.4,50.0,3.8,20.0,331.0,430.0,7.0,19.52702050012491,21.0,21.654324969338587,21.0,21.0,21.0,0.1,0.15,0.35,0.2,24.0,21.0,1713881.6325051692,0.0,0.0,0.0,1924816.0570406467,0.0,3819488.3802957378,0.0,2084027.0506763617,0.0,9542213.120517916,0.0 
 03/04  14:00:00,3.5,54.0,3.4,20.0,324.0,425.0,7.0,21.837158693138119,21.0,21.852395873175089,21.0,20.999999999999998,21.0,0.1,0.15,0.35,0.19,24.0,21.0,1772795.1092392316,0.0,0.0,0.0,1971376.5236844265,0.0,3792214.252054129,0.0,2061431.5135086757,0.0,9597817.398486462,0.0 
 03/04  15:00:00,3.6,60.0,3.1,340.0,298.0,393.0,7.0,22.225125580991997,21.0,21.84049808054182,20.999999999999998,21.000000000000005,21.000000000000005,0.1,0.15,0.35,0.15,24.0,21.0,1699569.397327715,0.0,0.0,0.0,1922654.8126296367,0.0,3697862.792315937,0.0,1519521.7194612546,0.0,8839608.721734545,0.0 
 03/04  16:00:00,3.4,52.0,2.9,340.0,217.0,476.0,7.0,21.363772842499999,21.0,21.69799810399147,21.0,21.0,21.0,0.1,0.15,0.35,0.13,24.0,21.0,1637768.3611481135,0.0,0.0,0.0,1961109.7522278205,0.0,3689084.7171138816,0.0,64432.10555918775,0.0,7352394.936049003,0.0 
 03/04  17:00:00,3.1,46.0,2.8,340.0,161.0,379.0,7.0,18.740128520017117,21.000000000000005,21.17436128873816,21.0,21.0,21.192004725028825,0.1,0.15,0.35,0.14,24.0,21.0,1644073.2985270245,0.0,0.0,0.0,2123518.7290810619,0.0,3803618.682204227,0.0,0.0,0.0,7571210.709812313,0.0 
 03/04  18:00:00,2.9,43.0,2.6,290.0,83.0,128.0,7.0,14.41768586730464,20.999999999999998,21.000037329412117,20.999999999999998,20.999999999999998,21.000612685340366,0.0,0.05,0.3,0.07,24.0,21.0,2516232.4198092597,0.0,1828839.0787429463,0.0,2725810.4912503587,0.0,4635171.217832224,0.0,838035.2362163144,0.0,12544088.443851103,0.0 
 03/04  19:00:00,2.4,41.0,2.2,290.0,0.0,0.0,7.0,9.661839333085576,19.403148030758247,19.425371918861484,19.261403575500009,19.26862477048639,19.36490194078633,0.0,0.05,0.3,0.07,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/04  20:00:00,2.0,42.0,1.9,290.0,0.0,0.0,7.0,6.35541773200343,18.981921153424915,19.120419531780376,18.601597912440988,18.60386466601763,18.828543350076804,0.0,0.05,0.3,0.07,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/04  21:00:00,1.5,48.0,1.5,20.0,0.0,0.0,7.0,4.363977373762983,18.66802168821552,18.78150348484084,18.233987159580488,18.235861952301535,18.438580414388146,0.0,0.05,0.3,0.07,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/04  22:00:00,1.3,44.0,1.0,20.0,0.0,0.0,7.0,2.702613212211015,18.48200829780148,18.571507429669898,17.97071469338575,17.98333778826921,18.195135247231009,0.0,0.05,0.3,0.09,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/04  23:00:00,1.1,46.0,0.5,20.0,0.0,0.0,7.0,1.319453905621805,18.310875095389976,18.362014332995537,17.757581044187064,17.782312825177546,17.986517866641834,0.0,0.05,0.3,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/04  24:00:00,0.9,51.0,0.0,0.0,0.0,0.0,7.0,0.056767052286796657,18.16386423979074,18.17526488265442,17.568887753223885,17.606914480644734,17.805238130054599,0.0,0.05,0.3,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  01:00:00,0.7,47.0,0.2,0.0,0.0,0.0,1.0,-0.9540614739042863,18.0242644603716,17.987378689176695,17.39306156290616,17.444238305071658,17.62924562428899,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  02:00:00,0.6,48.0,0.3,0.0,0.0,0.0,1.0,-1.6899109422335515,17.896031671107346,17.814125950209314,17.23489287357225,17.29701935748598,17.46772468778335,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  03:00:00,0.4,53.0,0.5,20.0,0.0,0.0,1.0,-2.2075400363441135,17.76314377173123,17.634598339941758,17.070471348544176,17.146895209707503,17.29796700798221,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  04:00:00,-0.1,58.0,0.3,20.0,0.0,0.0,1.0,-2.9160965862271919,17.61553562263565,17.44174932287886,16.89254174369758,16.982894496565039,17.116173821276406,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  05:00:00,-0.6,63.0,0.2,20.0,0.0,0.0,1.0,-3.791742041810676,17.46328190406524,17.242037745444696,16.707868648048597,16.812618246426717,16.926272490118678,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  06:00:00,-1.1,68.0,0.0,0.0,0.0,0.0,1.0,-4.843575938206072,17.30944040811766,17.039709561242355,16.52012034804123,16.63941350451051,16.733846105469739,0.0,0.05,0.3,0.07,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  07:00:00,-0.4,71.0,0.2,0.0,0.0,0.0,1.0,-5.312280692600744,17.236981413526796,16.922553412312934,16.42125483833548,16.547210922725648,16.62751994945826,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  08:00:00,0.3,71.0,0.3,0.0,33.0,7.0,1.0,-4.627209501932518,17.177514225804474,16.86091206118722,16.403376687268975,16.4951422399977,16.566647543973298,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  09:00:00,1.0,78.0,0.5,250.0,108.0,359.0,1.0,0.28857595639014646,17.171792109186595,16.99384800757053,17.34891803562009,16.565426212454175,16.627168141397005,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  10:00:00,2.7,64.0,0.7,250.0,158.0,564.0,1.0,8.233625946493437,17.261180430511606,17.5918102591162,18.13009802714603,16.741344704537125,16.795145766075409,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  11:00:00,4.3,54.0,0.8,250.0,146.0,745.0,1.0,17.134502167055758,17.38777940650269,18.506039373896888,18.393850910044333,16.901556652049725,16.984606279693844,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  12:00:00,6.0,48.0,1.0,180.0,107.0,869.0,1.0,24.481334625778069,17.549073175046446,19.41335731698659,17.906291341801074,17.03058482665053,17.175648618363387,0.0,0.05,0.3,0.06,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  13:00:00,7.2,39.0,1.2,180.0,106.0,902.0,1.0,29.974323530667776,17.695079569219506,20.15373621083429,17.85363697920553,17.132670644687339,17.334475400680057,0.0,0.05,0.3,0.06,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  14:00:00,8.3,32.0,1.3,180.0,101.0,904.0,1.0,33.088061363282779,17.841714049092447,20.60854370506372,17.88817921943285,17.229864985218577,17.469731089399699,0.0,0.05,0.3,0.09,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  15:00:00,9.5,29.0,1.5,270.0,94.0,874.0,1.0,33.62296426616915,18.017515001582,20.738159400374703,18.032265215590689,17.35597850528092,17.979353975975437,0.0,0.05,0.3,0.06,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  16:00:00,8.6,37.0,1.9,270.0,113.0,743.0,1.0,30.656343047408428,17.988981945582343,20.3758816473119,17.99486150749405,17.36370406555632,18.985484194616274,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  17:00:00,7.6,50.0,2.2,270.0,148.0,438.0,1.0,26.706545327293357,17.939852872032099,19.680611089990977,17.927370564644684,17.379150130158583,19.28752730313955,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  18:00:00,6.7,64.0,2.6,290.0,85.0,132.0,1.0,20.63261661622607,17.873261960848898,19.20989372895626,17.74601652419329,17.274854753978578,18.77498920783023,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  19:00:00,6.0,64.0,2.1,290.0,0.0,0.0,1.0,15.135400159737179,17.783169371266493,18.797724402602584,17.53580258656281,17.11141116500271,18.103296175675035,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  20:00:00,5.4,64.0,1.5,290.0,0.0,0.0,1.0,10.757671405289932,17.697032663502069,18.541909930662255,17.39177821715563,16.998572534334718,17.764793180487226,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  21:00:00,4.7,65.0,1.0,230.0,0.0,0.0,1.0,7.748838829112929,17.613489696592379,18.35498385776905,17.272379975131213,16.90546484303469,17.56426506346,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  22:00:00,4.1,67.0,1.0,230.0,0.0,0.0,1.0,5.371373585133624,17.543397022263073,18.200590907997495,17.169392278770144,16.83067895155261,17.4299331264279,0.0,0.05,0.3,0.07,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  23:00:00,3.4,70.0,1.0,230.0,0.0,0.0,1.0,3.510794137678804,17.467983810930364,18.049135990510984,17.06150454018519,16.751413341931646,17.309037132057367,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/05  24:00:00,2.8,74.0,1.0,110.0,0.0,0.0,1.0,1.999936625710958,17.390435862012806,17.90125848220106,16.957632876218683,16.67303814860314,17.191776871574719,0.0,0.05,0.3,0.04,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  01:00:00,2.2,77.0,1.2,110.0,0.0,0.0,2.0,0.7842310017808408,17.4060377124273,17.839651668239008,16.934267253231626,16.681173916819277,17.16025962344341,0.0,0.05,0.4,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  02:00:00,1.7,82.0,1.3,110.0,0.0,0.0,2.0,-0.16956427044566298,17.34452958549548,17.707211319575984,16.8389073568771,16.612652283750806,17.058227953376585,0.0,0.05,0.4,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  03:00:00,1.1,87.0,1.5,50.0,0.0,0.0,2.0,-0.9784628946951863,17.27121098046151,17.558799705542783,16.732591790055204,16.53709895115632,16.944184144894114,0.0,0.05,0.4,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  04:00:00,0.5,85.0,1.0,50.0,0.0,0.0,2.0,-1.8891508369035273,17.1846104542892,17.410644449772858,16.616771111020783,16.44811001660308,16.82219376631328,0.0,0.05,0.4,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  05:00:00,0.0,86.0,0.5,50.0,0.0,0.0,2.0,-2.86614340421421,17.09540351083585,17.26169992014518,16.498947636791013,16.355347014766893,16.698674513951855,0.0,0.05,0.4,0.05,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  06:00:00,-0.6,85.0,0.0,0.0,0.0,0.0,2.0,-3.906980620312597,17.014095544967426,17.12107176538468,16.38663990016864,16.269094853172626,16.58077372509575,0.0,0.1,0.4,0.08,26.7,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/06  07:00:00,0.1,83.0,0.2,0.0,0.0,0.0,2.0,-0.7346142072218288,20.983700213543057,20.98370153377091,20.977440969311244,20.976384362723523,20.979121565307478,0.1,0.1,0.4,0.07,24.0,21.0,20976174.728404508,0.0,18109970.390544826,0.0,12552281.828065062,0.0,21151737.544736357,0.0,12324145.14504766,0.0,85114309.63679841,0.0 
 03/06  08:00:00,0.7,83.0,0.3,0.0,35.0,7.0,2.0,0.11366736527058025,20.999790457135928,20.999734406991896,20.999551209571739,20.999507150456066,20.99960128827328,0.2,0.3,0.4,0.19,24.0,21.0,12372049.907581332,0.0,12355747.131848965,0.0,9373384.576312138,0.0,16083652.878992426,0.0,8932639.100184458,0.0,59117473.59491932,0.0 
 03/06  09:00:00,1.4,84.0,0.5,230.0,141.0,145.0,2.0,2.593116265015407,20.999999933817987,20.99999964664711,20.999999309476399,20.99999861441839,20.999999041864748,0.95,0.9,0.9,0.35,24.0,21.0,812758.0372978979,0.0,2507730.142824199,0.0,1711738.6122642884,0.0,5128013.943947904,0.0,2667089.1674699776,0.0,12827329.903804269,0.0 
 03/06  10:00:00,4.4,70.0,1.7,230.0,191.0,463.0,2.0,8.587658066991376,21.372232721142657,21.33816462214136,21.526036359647866,20.9999999996581,20.9999999998371,0.95,0.9,0.9,0.38,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2083119.5039925173,0.0,874526.6224863319,0.0,2957646.126478849,0.0 
 03/06  11:00:00,7.4,59.0,2.9,230.0,198.0,659.0,2.0,16.828072279716367,21.750886414405664,22.384928074606337,22.041873989267708,21.000000000000008,21.065202584962799,0.95,0.9,0.9,0.39,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,445365.6001807633,0.0,0.0,0.0,445365.6001807633,0.0 
 03/06  12:00:00,10.4,50.0,4.1,200.0,168.0,788.0,2.0,23.682127552765026,22.114493629963844,23.359878022772535,21.952127580076718,21.16974967624695,21.40204793294451,0.95,0.9,0.9,0.47,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
