Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) 
 01/01  21:00:00,3.3,0.29411216243996446,15.614228328409474,16.05215221493968,15.600000000000033,15.599999999999998,15.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,107564.95492611139,8.526512829121202e-12,385318.8875164182,0.0,325045.8109766416,3.410605131648481e-11,0.0,817929.6534191711 
 01/01  22:00:00,3.3,-0.21579028174454795,15.614779271926977,16.01525263559222,15.599999999999998,15.6,15.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,122207.4855368308,0.0,371118.18512315804,2.5579538487363607e-11,322497.1157186053,2.5579538487363607e-11,0.0,815822.7863785941 
 01/01  23:00:00,3.3,-0.39102512542549167,15.613818514944413,15.98524436785183,15.6,15.600000000000001,15.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,130411.74687833154,2.5579538487363607e-11,354108.4423157263,0.0,316710.0115631052,0.0,0.0,801230.2007571631 
 01/01  24:00:00,3.3,-0.40609119547096156,15.61290768755382,15.943591592380036,15.6,15.6,15.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,141730.0393392383,0.0,355586.90118692024,0.0,329427.8455929248,5.1159076974727213e-11,0.0,826744.7861190833 
 01/02  01:00:00,3.3,-0.2876212286006487,15.72752943340904,16.04017689754264,15.6,15.6,15.6,0.0,0.0,0.0,0.0,0.0,0.0,11627.113838710286,1.5987211554602254e-12,108052.48358566096,0.0,189953.91493707866,2.5579538487363607e-11,0.0,309633.5123614499 
 01/02  02:00:00,3.4,-0.08063152741188144,15.739653504245483,16.00250177675644,15.599999999999998,15.6,15.6,0.0,0.0,0.0,0.0,0.0,0.0,14437.24946791117,0.0,89202.49614214407,0.0,183823.32745879467,0.0,0.0,287463.0730688499 
 01/02  03:00:00,3.4,1.6854623778842612,15.74805611745363,15.803397608254661,15.599999999999996,15.599999999999998,15.599999999999996,0.0,0.0,0.0,0.0,0.0,0.0,274467.75619219145,5.115907697472721e-11,463028.2180724411,0.0,430739.55859812046,0.0,0.0,1168235.532862753 
 01/02  04:00:00,3.4,1.3790578279541263,15.75134518047588,15.93582732877094,15.599999999999998,15.6,15.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,92338.2402627256,1.2789769243681803e-11,152894.9812908439,1.2789769243681803e-11,230054.81477076613,2.5579538487363607e-11,0.0,475288.0363243355 
 01/02  05:00:00,3.5,0.8243429562967463,15.762313153451235,15.889557765772835,15.6,15.600000000000001,15.6,0.0,0.0,0.0,0.0,0.0,0.0,93767.62604703946,1.9184653865522705e-11,138693.80915289914,1.2789769243681803e-11,223619.44017255498,1.2789769243681803e-11,0.0,456080.8753724935 
 01/02  06:00:00,3.5,2.1798678449177458,15.784803360177683,15.734037831487191,15.599999999999998,15.600000000000001,15.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,295401.51274658676,4.263256414560601e-11,427998.6358690788,3.410605131648481e-11,424147.9880065064,5.1159076974727213e-11,0.0,1147548.1366221718 
 01/02  07:00:00,4.0,2.1213794900854546,21.967894434979897,21.96661342410581,21.964089887543675,21.964227119251174,21.963815994565817,0.0,0.0,17483756.01236583,2.2737367544323206e-9,14670526.239245275,1.546140993013978e-9,11131909.673488447,7.275957614183426e-10,18342485.565244913,5.456968210637569e-10,11554024.841424754,5.456968210637569e-10,0.0,73182702.33176921 
 01/02  08:00:00,4.6,1.7387281105537493,21.99809419015329,21.99772048248792,21.99745668147079,21.997466020917788,21.997410720847498,0.0,0.0,21046598.150329567,1.6370904631912708e-9,20734192.202503256,1.6370904631912708e-9,13595249.752350837,0.0,21883080.717461754,0.0,13779710.87857527,8.185452315956354e-10,0.0,91038831.70122068 
 01/02  09:00:00,5.1,3.404539160478929,21.999981555374728,21.999971435519786,21.99996649633603,21.999967216440282,21.999965481522537,0.0,0.0,14383145.03609977,2.338700661701815e-10,15236121.046663351,4.67740132340363e-10,9833830.59022366,7.016101985105446e-10,15876486.946941901,4.67740132340363e-10,9974331.843105877,4.67740132340363e-10,0.0,65303915.46303455 
 01/02  10:00:00,5.7,4.07599130693756,21.99999927778436,21.999998653626953,21.999998367501234,21.999998398935038,21.999998299418884,0.0,0.0,11007756.699625773,8.185452315956354e-10,11639118.965935217,1.6370904631912708e-9,7551751.206225354,8.185452315956354e-10,12229839.605719842,1.6370904631912708e-9,7664131.795018056,8.185452315956354e-10,0.0,50092598.27252424 
 01/02  11:00:00,6.2,4.974436551455993,21.999999989073427,21.999999974220483,21.99999996719535,21.999999968062966,21.999999965408023,0.0,0.0,9173111.223761516,1.6370904631912708e-9,9870592.33682989,2.0463630789890885e-9,6421839.414486623,8.185452315956354e-10,10407788.834811145,1.2278178473934531e-9,6520981.556669649,6.139089236967266e-10,0.0,42394313.36655882 
 01/02  12:00:00,6.8,5.670280750281995,21.999999999786777,21.999999999318284,21.999999999102034,21.99999999913135,21.999999999041112,0.0,0.0,7831527.510689034,1.6370904631912708e-9,9242116.445378082,0.0,5970806.47057477,5.456968210637569e-10,9636226.398482816,2.1827872842550278e-9,6067987.777899882,8.185452315956354e-10,0.0,38748664.60302458 
 01/02  13:00:00,6.7,6.487393278592405,21.999999999996806,21.999999999985917,21.99999999998024,21.999999999981107,21.999999999978634,0.0,0.0,5677013.505703792,493.27155877754194,6886668.171604393,1076.8844766179427,4582305.865531852,725.1704320206045,7348478.095831284,1156.3275232266278,4656744.526073648,738.6778418314861,0.0,29147019.832912493 
 01/02  14:00:00,6.7,7.057541248294719,21.999999999999915,21.999999999999524,21.999999999999304,21.999999999999332,21.999999999999233,0.0,0.0,6372839.6338263005,4.092726157978177e-10,7306962.506601035,0.0,4791382.287797925,1.2278178473934531e-9,7719450.669930196,8.185452315956354e-10,4859467.255795267,1.2278178473934531e-9,0.0,31050102.35395072 
 01/02  15:00:00,6.6,6.548209286926152,21.999999999999996,21.999999999999993,21.999999999999982,21.999999999999982,21.999999999999982,0.0,0.0,5779957.190167161,5.456968210637569e-10,7563617.567816186,5.456968210637569e-10,4861427.931136541,8.185452315956354e-10,7777375.092719329,1.6370904631912708e-9,4932414.323596618,0.0,0.0,30914792.105435833 
 01/02  16:00:00,6.7,6.153382625523234,22.0,22.0,21.999999999999996,22.0,21.999999999999996,0.0,0.0,5223216.190614937,0.0,6653856.605064249,0.0,4296985.495360391,4.092726157978177e-10,6873824.374369374,8.185452315956354e-10,4377128.169324538,1.2278178473934531e-9,0.0,27425010.834733482 
 01/02  17:00:00,6.8,5.453494584637628,22.0,22.0,22.0,22.0,22.0,0.0,0.0,4738347.955326433,2.7284841053187847e-10,6398484.594537928,2.7284841053187847e-10,4115364.119910825,2.7284841053187847e-10,6551321.499029042,8.185452315956354e-10,4187514.7266367823,0.0,0.0,25991032.89544101 
