Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/01  22:00:00,3.3000000000000003,-0.894700405232293,15.050525847375283,14.602971925493746,14.031998317540134,14.003070039770828,13.842791826322953,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  23:00:00,3.3000000000000003,-1.0481934016083332,15.060389315280787,14.58002175149081,14.029268468253688,14.013988494261257,13.847982466801485,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  24:00:00,3.3000000000000003,-0.9212227957680622,15.068756299121894,14.553959906091508,14.027094925039963,14.02305119459494,13.850818903275204,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/02  01:00:00,3.3000000000000003,-0.7169410296440725,15.182309088459126,14.623051438118656,14.110329705057126,14.11893352682865,13.935420904753641,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/02  02:00:00,3.358333333333333,-0.4306993885885691,15.228738810864783,14.630087798679419,14.135142148435264,14.155817905680017,13.965516492178194,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/02  03:00:00,3.4,0.5445273266073303,15.25087606692342,14.533809043283222,14.070331934462914,14.107405719800164,13.9102907055089,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/02  04:00:00,3.4,2.1016395117183406,15.254122002293458,14.471987765562211,14.029331729806353,14.08142195753093,13.879893848282114,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/02  05:00:00,3.4583333333333335,1.288433739802356,15.264564653051508,14.540327980166724,14.094240747828417,14.154629456313948,13.95190953184256,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/02  06:00:00,3.5,1.443936327183614,15.300292302160843,14.482305142614706,14.061616223705334,14.134837739132402,13.925846786339795,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/02  07:00:00,3.7916666666666665,2.6704895028793705,20.984529561083107,20.979402627240518,20.97695288539555,20.97748149328523,20.976133797300854,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,101275277.53578037 
